action,reason,cluster_id,source_db,title,doi,matched_with_db,matched_with_title
MERGE,DOI match: 10.1021/acs.analchem.6c00361,24,scopus,"Trends in Computational Metabolomics: A Perspective on Five Years of Software Development, Challenge",10.1021/acs.analchem.6c00361,pubmed,"Trends in Computational Metabolomics: A Perspective on Five Years of Software Development, Challenge"
NEW,No match found,29,scopus,Sparse autoencoders reveal interpretable cell-type programs in single-cell foundation model represen,10.1016/j.jbi.2026.105056,,
NEW,No match found,30,scopus,Artificial intelligence-driven drug discovery: a new era in therapeutic innovation,10.1016/j.bmc.2026.118671,,
MERGE,DOI match: 10.1158/0008-5472.can-25-3699,26,scopus,CellFuse Enables Multimodal Integration of Single-Cell and Spatial Proteomics Data for Systems-Level,10.1158/0008-5472.CAN-25-3699,pubmed,CellFuse Enables Multimodal Integration of Single-Cell and Spatial Proteomics Data for Systems-Level
NEW,No match found,31,scopus,Evolution of Generative Adversarial Networks (GANs) in Medicine: A Systematic Review of Architecture,10.47852/bonviewAIA52026216,,
NEW,No match found,32,scopus,"Nursing roles, competencies, and education in precision oncology: a scoping review",10.1016/j.eclinm.2026.104080,,
NEW,No match found,33,scopus,Artificial intelligence in plant salt stress research: from predictive models to multi-omics integra,10.1093/jxb/eraf498,,
NEW,No match found,34,scopus,Multimodal artificial intelligence for diagnosis and prognosis in head and neck cancer: A systematic,10.1007/s11042-026-21805-6,,
NEW,No match found,35,scopus,scDifformer: diffusion-based post-training for virtual cell modeling across large-scale single-cell ,10.1093/nar/gkag706,,
NEW,No match found,36,scopus,ATACompass enables cross-species cell identity mapping for scATAC-seq without gene annotations,10.1016/j.crmeth.2026.101460,,
NEW,No match found,37,scopus,Causal intervention validation of gene regulatory signals in scGPT,10.1016/j.jbi.2026.105080,,
NEW,No match found,38,openalex,NicheTrans: spatial-aware cross-omics translation,10.1038/s41592-026-03153-3,,
NEW,No match found,39,openalex,SpatialFormer: universal spatial representation learning from subcellular molecular to multicellular,10.1038/s43588-026-01016-7,,
NEW,No match found,40,openalex,High-resolution reconstruction of cell-type-specific transcriptional regulatory processes from bulk ,10.1038/s41587-026-03218-w,,
NEW,No match found,41,openalex,Systematic contextual biases in SegmentNT potentially relevant to other nucleotide transformer model,10.1093/nar/gkag704,,
NEW,No match found,42,openalex,Extending Protein Language Models to a Viral Genomic Scale Using Biologically Induced Sparse Attenti,10.1093/gigascience/giag081,,
NEW,No match found,43,openalex,AlphaGEM enables precise genome-scale metabolic modelling by integrating protein structure alignment,10.1038/s41467-026-75549-w,,
NEW,No match found,44,openalex,Unlocking biological insight from single-cell data with an interpretable dual-stream foundation mode,10.1186/s13059-026-04193-w,,
NEW,No match found,45,openalex,GenAR: Next-scale autoregressive generation for spatial gene expression prediction,10.1016/j.media.2026.104232,,
MERGE,DOI match: 10.1186/s13040-026-00582-w,1,openalex,Clifti-GPT: privacy-preserving federated fine-tuning and transferable inference of foundation models,10.1186/s13040-026-00582-w,pubmed,Clifti-GPT: privacy-preserving federated fine-tuning and transferable inference of foundation models
MERGE,DOI match: 10.1016/j.media.2026.104197,16,openalex,SPADE: Spatial transcriptomics and pathology alignment using a mixture of data experts for an expres,10.1016/j.media.2026.104197,pubmed,SPADE: Spatial transcriptomics and pathology alignment using a mixture of data experts for an expres
NEW,No match found,46,openalex,Decoding gene responsiveness to synthetic chromatin reader-actuators with multi-modal epigenomic pro,10.1038/s41540-026-00781-5,,
MERGE,DOI match: 10.1038/s42003-026-10608-y,21,openalex,High-resolution mri guided whole mouse brain neuronal cell type atlas using deep learning,10.1038/s42003-026-10608-y,pubmed,High-resolution mri guided whole mouse brain neuronal cell type atlas using deep learning.
NEW,No match found,47,openalex,"The malignant synapse: architecture, signal integration, and therapeutic vulnerabilities in glioma",10.1007/s13402-026-01252-z,,
MERGE,DOI match: 10.3389/fnins.2026.1837233,7,openalex,Integrated multi-omics and deep learning analysis reveals neurotransmitter metabolism regulatory mec,10.3389/fnins.2026.1837233,pubmed,Integrated multi-omics and deep learning analysis reveals neurotransmitter metabolism regulatory mec
NEW,No match found,48,openalex,Decoding cancer circulating transcriptomic signatures with language models,10.1038/s41467-026-74411-3,,
NEW,No match found,49,openalex,Disease Agnostic Pathway Subtyping Framework,10.5281/zenodo.21279842,,
NEW,No match found,50,openalex,Selaginella sellowii gene regulatory networks reveal distinct transcriptional strategies for dehydra,10.1038/s41598-026-59572-x,,
NEW,No match found,51,openalex,LYNX: a deep generative model for linking spatial dynamics and cell interactions in multimodal spati,10.64898/2026.07.09.737574,,
NEW,No match found,52,openalex,Robust Transcription Factor Binding Site Prediction and Explainability Using a Heterogeneous Mixture,10.3390/math14142489,,
MERGE,DOI match: 10.3390/ijms27146184,6,openalex,DeepExoMir: A Reproducible RNA Language Model Framework for CLIP-Seq-Supported MicroRNA Target-Site ,10.3390/ijms27146184,pubmed,DeepExoMir: A Reproducible RNA Language Model Framework for CLIP-Seq-Supported MicroRNA Target-Site 
NEW,No match found,53,openalex,Deciphering tuberculosis pathway mechanisms via graph neural networks and multimodal deep learning: ,10.3389/fphar.2026.1753893,,
NEW,No match found,54,openalex,Multimodal attention fusion: Integrating proteomics and body composition for longitudinal type 2 dia,10.1016/j.engappai.2026.115678,,
MERGE,DOI match: 10.1186/s13073-026-01713-y,14,openalex,"Trimodal, uncertainty-guided whole-slide framework for genome-scale spatial expression and image-onl",10.1186/s13073-026-01713-y,pubmed,"Trimodal, uncertainty-guided whole-slide framework for genome-scale spatial expression and image-onl"
MERGE,DOI match: 10.1186/s12964-026-03063-z,15,openalex,AI-driven multi-omics deciphering of extrachromosomal circular DNA rescues hidden targets in colorec,10.1186/s12964-026-03063-z,pubmed,AI-driven multi-omics deciphering of extrachromosomal circular DNA rescues hidden targets in colorec
NEW,No match found,55,openalex,AI in transplantation: levelling the playing field and raising the methodological standards,10.3389/ti.2026.17015,,
NEW,No match found,56,openalex,Artificial Intelligence for Identifying Tumor‐Reactive CD8 <sup>+</sup> T Cells: Biological Principl,10.1002/mdr2.70080,,
MERGE,DOI match: 10.1186/s12915-026-02676-7,12,openalex,ViMST: vision transformer-based dual modality multi-task graph contrastive network for spatial trans,10.1186/s12915-026-02676-7,pubmed,ViMST: vision transformer-based dual modality multi-task graph contrastive network for spatial trans
NEW,No match found,57,openalex,Lineage-Independent Structural Risk Detection in SARS- CoV-2 Spike Protein via Zero-Shot Protein Lan,10.5281/zenodo.21381359,,
NEW,No match found,58,openalex,Popformer: Learning general signatures of positive selection with a self-supervised transformer,10.1371/journal.pcbi.1014492,,
NEW,No match found,59,openalex,Construction and validation of a phenotypic prediction model for bacterial gentamicin resistance usi,10.1128/spectrum.01906-25,,
NEW,No match found,60,openalex,Lineage-Independent Structural Risk Detection in SARS- CoV-2 Spike Protein via Zero-Shot Protein Lan,10.5281/zenodo.21381358,,
MERGE,DOI match: 10.3389/fcell.2026.1878798,2,openalex,Application of deep learning in prognostic prediction of non-small cell lung cancer,10.3389/fcell.2026.1878798,pubmed,Application of deep learning in prognostic prediction of non-small cell lung cancer.
NEW,No match found,61,openalex,A co-measurement gap: no standard paradigm jointly tracks a felt valence signal and an independent v,10.5281/zenodo.21427129,,
NEW,No match found,62,openalex,scWeave: A deep learning model that bidirectionally translates between gene expression and chromatin,10.64898/2026.07.13.738265,,
NEW,No match found,63,openalex,AI-Driven Diagnostics and Predictive Modeling: Transforming Clinical Decision-Making in Modern Medic,10.5772/intechopen.1014563,,
NEW,No match found,64,openalex,Editorial: Artificial intelligence in microbial and microscopic analysis,10.3389/fmicb.2026.1909573,,
NEW,No match found,65,openalex,Interpretable multimodal deep learning for time-resolved survival prediction after hepatocellular ca,10.1038/s41746-026-03027-0,,
NEW,No match found,66,openalex,Editorial: AI-driven scientific discovery—transforming research across disciplines,10.3389/frai.2026.1908389,,
NEW,No match found,67,openalex,"AI-Driven Approaches for the Detection, Classification, and Surveillance of Viral Pathogens: Current",10.3390/pathogens15070761,,
NEW,No match found,68,openalex,Expanding the scope of protein language modeling to protein-protein interactions with MSA Pairformer,10.1016/j.cell.2026.06.029,,
MERGE,DOI match: 10.1186/s12864-026-12965-8,9,openalex,Systematic evaluation of single-cell foundation model interpretability: attention-derived edge score,10.1186/s12864-026-12965-8,pubmed,Systematic evaluation of single-cell foundation model interpretability: attention-derived edge score
NEW,No match found,69,openalex,Longitudinal Multimodal Fusion of Neuroimaging and Genetics for the Prediction of Working Memory and,10.57709/350,,
NEW,No match found,70,openalex,DeepPlaque: a scalable multimodal platform for Aβ pathology and cell analysis in Alzheimer’s disease,10.1038/s44321-026-00488-4,,
NEW,No match found,71,openalex,Editorial: Utilizing machine learning with phenotypic and genotypic data to enhance effective breedi,10.3389/fpls.2026.1869724,,
MERGE,DOI match: 10.1186/s13073-026-01733-8,8,openalex,clinTALL: machine learning-driven multimodal subtype classification and treatment outcome prediction,10.1186/s13073-026-01733-8,pubmed,clinTALL: machine learning-driven multimodal subtype classification and treatment outcome prediction
MERGE,DOI match: 10.64898/2026.07.17.739269,3,openalex,GEM-GPT Enables Personalized Cell Type-Resolved Therapeutic Design for Systems Pharmacology,10.64898/2026.07.17.739269,pubmed,GEM-GPT Enables Personalized Cell Type-Resolved Therapeutic Design for Systems Pharmacology.
NEW,No match found,72,openalex,Interpretable prediction of DNA replication origins in S. cerevisiae using DNABERT and DNABERT-2,10.1186/s12859-026-06562-5,,
NEW,No match found,73,openalex,Artificial intelligence in the early diagnosis of prostate cancer: from multimodal imaging to liquid,10.3389/fonc.2026.1906810,,
NEW,No match found,74,openalex,A Systematic Review: Deep Learning for Analyzing Genomic Data to Discover Evolutionary Patterns,10.1155/sci5/4286814,,
NEW,No match found,75,openalex,A benchmark study of vision and pathology foundation models for computational pathology,10.1038/s41467-026-76004-6,,
NEW,No match found,76,openalex,shinyDeepGxP: A user-friendly R Shiny app for Predicting Surface Protein Abundance from scRNA-seq Ex,10.1093/bioadv/vbag203,,
NEW,No match found,77,openalex,Disease Agnostic Pathway Subtyping Framework,10.5281/zenodo.21566406,,
NEW,No match found,78,openalex,"A Theoretical Proposal for Ququart-Based QuantumComputing Architecture for Native Quaternary (A,T, G",10.5281/zenodo.21605767,,
NEW,No match found,79,openalex,"A Theoretical Proposal for Ququart-Based QuantumComputing Architecture for Native Quaternary (A,T, G",10.5281/zenodo.21605766,,
NEW,No match found,80,openalex,Deep learning as a bridge between sequencing-derived biological data and functional interpretation,10.1007/s44163-026-01739-6,,
NEW,No match found,81,openalex,From Automated ECG Interpretation to Multimodal Cardiovascular Intelligence: The Evolution of Artifi,10.3390/medsci14040434,,
MERGE,DOI match: 10.1093/narcan/zcag015,5,openalex,Cross-modal mapping of cancer stem-like cell plasticity using deep learning,10.1093/narcan/zcag015,pubmed,Cross-modal mapping of cancer stem-like cell plasticity using deep learning.
NEW,No match found,82,openalex,Early Detection Methods for Autism Spectrum Disorder: From Clinical Screening to Multimodal AI,10.3390/diagnostics16152376,,
NEW,No match found,83,openalex,Artificial Intelligence and Genomic Data Analysis: New Frontiers in Precision Medicine,10.3390/ijms27156755,,
NEW,No match found,84,openalex,"Editorial: Methods for imaging and omics data science: advances, applications, and spatiotemporal in",10.3389/fgene.2026.1922890,,
NEW,No match found,85,openalex,Artificial intelligence in peptide cancer vaccine design: from neoantigen discovery to immunogenicit,10.3389/fgene.2026.1875066,,
NEW,No match found,86,openalex,xDecoder unlocks the potential of genomic foundation models for few-shot personal gene expression pr,10.1038/s44320-026-00238-1,,
NEW,No match found,87,openalex,Deep Learning-Based Prediction of Antimicrobial Resistance,10.1051/itmconf/20268801020/pdf,,
NEW,No match found,88,openalex,Self-evolving artificial intelligence virtual cells: A closed-loop system from multi-scale modeling ,10.65457/cmjbm-2026-0006,,
NEW,No match found,89,openalex,Bridging agronomic science and context specific farm-level advisory through generative AI for rice s,10.3389/frai.2026.1808028,,
NEW,No match found,90,openalex,Artificial intelligence in rare neurological diseases: a scoping review of the evidence landscape an,10.1186/s41983-026-01208-y,,
NEW,No match found,91,openalex,MGS-HCT enables resistance gene discovery and functional sequence design in forest trees,10.1186/s12896-026-01205-2,,
NEW,No match found,92,openalex,AI without representation is just inequity at scale: on the exportation of unrepresentative artifici,10.3389/frai.2026.1894116,,
NEW,No match found,93,openalex,Uncertainty-Aware Risk Stratification in Pediatric Low-Grade Glioma Using Multimodal Data,10.3174/ajnr.a9550,,
NEW,No match found,94,openalex,Editorial: Artificial intelligence in multi-omics: advancing tumor metastasis prediction and mechani,10.3389/fcell.2026.1924805,,
NEW,No match found,95,openalex,Miniaturizing and modifying natural proteins with Raygun,10.1038/s41586-026-10842-8,,
NEW,No match found,96,openalex,Characterizing the Clinical Impact of Tumor Ecosystem Architectures,10.5167/uzh-435305,,
NEW,No match found,97,openalex,From subjective assessment to data-driven diagnosis: the AI revolution in multimodal early detection,10.3389/fimmu.2026.1792331,,
NEW,No match found,98,openalex,Advancing healthcare with generative AI and large language models: a systematic review of applicatio,10.1016/j.ceh.2026.07.002,,
NEW,No match found,99,openalex,UniTCM: A computational reverse pharmacology framework for decoding formula–disease interactions in ,10.5281/zenodo.21711676,,
NEW,No match found,100,openalex,UniTCM: A computational reverse pharmacology framework for decoding formula–disease interactions in ,10.5281/zenodo.21711675,,
NEW,No match found,101,openalex,Accelerating inference in genomic and proteomic foundation models via speculative decoding,10.1093/bioinformatics/btag579,,
MERGE,DOI match: 10.1111/1750-3841.71334,4,openalex,Artificial Intelligence in Food–Nutrition–Health Research: From Multimodal Data Integration to Preci,10.1111/1750-3841.71334,pubmed,Artificial Intelligence in Food-Nutrition-Health Research: From Multimodal Data Integration to Preci
NEW,No match found,102,openalex,Unify learns cellular evolution with universal multimodal embeddings,10.1038/s41467-026-76230-y,,
MERGE,DOI match: 10.1007/s11042-026-21805-6,34,openalex,Multimodal artificial intelligence for diagnosis and prognosis in head and neck cancer: A systematic,10.1007/s11042-026-21805-6,scopus,Multimodal artificial intelligence for diagnosis and prognosis in head and neck cancer: A systematic
NEW,No match found,103,openalex,Advances in single-cell and spatial multi-omics for plant development and stress responses,10.1016/j.pld.2026.07.015,,
NEW,No match found,104,openalex,A generative AI multi-agent framework with integrated XAI governance for cancer diagnostics: from mu,10.3389/fsysb.2026.1892418,,
NEW,No match found,105,openalex,From Explainability to Clinical Actionability in Multi-Modal AI for Cardiovascular Prediction: A Sys,10.3390/biomedinformatics6040055,,
NEW,No match found,106,openalex,Engineering Multi-Protein Assemblies with Machine Learning and Experimental Optimization,10.7907/gnma-ay69,,
NEW,No match found,107,openalex,A co-measurement gap: no standard paradigm jointly tracks a felt valence signal and an independent v,10.5281/zenodo.21767213,,
NEW,No match found,108,openalex,Benchmarking Open-Source Pathology Foundation Models for Breast Cancer Biomarker Prediction from H&a,10.3390/cancers18152475,,
NEW,No match found,109,openalex,Integrative cfDNA profiling from low-pass whole-genome sequencing enables tissue-of-origin predictio,10.1186/s43556-026-00497-2,,
NEW,No match found,110,openalex,Generative AI-augmented transcriptomic and microbiome analysis across inflammatory and fibrotic dise,10.3389/frai.2026.1881820,,
NEW,No match found,111,openalex,Artificial Intelligence in Obstetrics: Current Trends and Future Directions,10.3390/jcm15156059,,
NEW,No match found,112,openalex,Asymmetric dual pathway fusion for histology driven spatial transcriptomic prediction,10.1038/s41598-026-63426-x,,
NEW,No match found,113,openalex,An Artificial Intelligence (AI) model integrating multiscale foundation model histopathology represe,10.1038/s41523-026-01022-y,,
NEW,No match found,114,openalex,Artificial intelligence-based prediction of biochemical recurrence of prostate cancer using multipar,10.1186/s12301-026-00604-3,,
NEW,No match found,115,openalex,The Rise of Generalist Foundation Models and Quantum Computing in Oncology,10.1177/15330338261476208,,
MERGE,DOI match: 10.1016/j.xgen.2026.101329,0,openalex,PlantCAD2: A DNA foundation model for interpreting genomes across flowering plants,10.1016/j.xgen.2026.101329,pubmed,PlantCAD2: A DNA foundation model for interpreting genomes across flowering plants.
NEW,No match found,116,openalex,SpikeFormer: A Spiking Transformer-Based Cancer Detection Model,10.1016/j.curgen.2026.08.002,,
NEW,No match found,117,openalex,Artificial Intelligence‐Driven Natural Product Drug Discovery: From Computational Genome Mining to C,10.1002/med.70098,,
NEW,No match found,118,openalex,DSAI-14 MULTI-OMICS GRAPH NEURAL NETWORK INTEGRATION REVEALS PREDICTIVE SIGNATURES OF BRAIN METASTAT,10.1093/noajnl/vdag161.031,,
NEW,No match found,119,openalex,A scalable deep mixed-effects learning framework for high-dimensional and multi-modal biomarker inte,10.1038/s43856-026-01836-8,,
NEW,No match found,120,openalex,Prototype contrastive alignment with clinical attention enables multi-modal breast cancer molecular ,10.1038/s41598-026-65307-9,,
NEW,No match found,121,openalex,Image-guided Spatial Omics Enhancement reveals Hidden Spatial Microstructures,10.1093/bioinformatics/btag596,,
NEW,No match found,122,semantic_scholar,Representative vs. Load-bearing Layers: A Dissociation in Genomic Foundation Models,10.64898/2026.07.16.739040,,
NEW,No match found,123,semantic_scholar,"Artificial Intelligence in Infectious Disease Surveillance: Applications, Challenges, and Future Per",10.64813/ejmr.2026.120,,
NEW,No match found,124,semantic_scholar,RVQ-Alpha: Bridging Single-Cell Transcriptomics and Large Language Models via Hierarchical Discrete ,10.64898/2026.04.20.719773,,
NEW,No match found,125,semantic_scholar,Prioritizing Non-coding Variants in Rice GWAS Loci with a Chromatin-Informed DNA Language Model,10.64898/2026.07.24.740656,,
NEW,No match found,126,semantic_scholar,A vision foundation model for single-cell biology via spatial gene cartography,,,
NEW,No match found,127,semantic_scholar,scMIR: a vision-language foundation model for single-cell light microscopy image representation,,,
NEW,No match found,128,semantic_scholar,OsteoFGRNet: Osteopontin-Driven Expression Profiling for Early Fetal Growth Restriction Analysis,10.1109/ACCESS.2025.3640590,,
NEW,No match found,129,semantic_scholar,"Abstract A050: The top functional driver of brain metastasis carries zero somatic mutations in 1,879",10.1158/1538-7445.rareca26-a050,,
NEW,No match found,130,semantic_scholar,Modeling patient tissues at molecular resolution with Eva,10.64898/2025.12.10.693553,,
NEW,No match found,131,semantic_scholar,SPgen: Proteome-wide Spatial Proteomics generation using multi-modality foundation models,10.64898/2026.07.16.739037,,
NEW,No match found,132,semantic_scholar,∑0–EvoCell: An AI-Native Ontology that Unifies Evolutionary and Cell Biology in Latent Space,10.64898/2026.07.15.738795,,
MERGE,DOI match: 10.64898/2026.07.09.737574,51,semantic_scholar,LYNX: a deep generative model for linking spatial dynamics and cell interactions in multimodal spati,10.64898/2026.07.09.737574,openalex,LYNX: a deep generative model for linking spatial dynamics and cell interactions in multimodal spati
MERGE,DOI match: 10.3389/frai.2026.1808028,89,semantic_scholar,Bridging agronomic science and context specific farm-level advisory through generative AI for rice s,10.3389/frai.2026.1808028,openalex,Bridging agronomic science and context specific farm-level advisory through generative AI for rice s
NEW,No match found,133,semantic_scholar,LLMBDC: Language Model for Biological Domains Oriented Clustering of Gene Ontology,,,
MERGE,DOI match: 10.3389/fonc.2026.1906810,73,semantic_scholar,Artificial intelligence in the early diagnosis of prostate cancer: from multimodal imaging to liquid,10.3389/fonc.2026.1906810,openalex,Artificial intelligence in the early diagnosis of prostate cancer: from multimodal imaging to liquid
MERGE,DOI match: 10.3174/ajnr.a9550,93,semantic_scholar,Uncertainty-Aware Risk Stratification in Pediatric Low-Grade Glioma Using Multimodal Data.,10.3174/ajnr.A9550,openalex,Uncertainty-Aware Risk Stratification in Pediatric Low-Grade Glioma Using Multimodal Data
NEW,No match found,134,semantic_scholar,Learning the spatial cell-cell communication network to decode multi-channel signaling and predict n,10.64898/2026.07.05.736582,,
NEW,No match found,135,semantic_scholar,AI-Driven Multi-Omics Integrated Applications Using Diverse Neural Networks for Breast Cancer Diagno,10.1002/med.70078,,
NEW,No match found,136,semantic_scholar,An interpretable omnigenic neural network architecture for the human genome,10.64898/2026.07.28.26359187,,
NEW,No match found,137,semantic_scholar,Adaptive Gated Multimodal Fusion for Explainable and Uncertainty-Aware Tumor Grade Assessment,10.1109/ACCESS.2026.3701753,,
NEW,No match found,138,semantic_scholar,Artificial Intelligence in single-cell and spatial transcriptomics data analyses.,10.1016/bs.pmbts.2026.01.011,,
NEW,No match found,139,semantic_scholar,LLM-Guided Retrieval for Prediction of Molecular Perturbation Responses,,,
NEW,No match found,140,semantic_scholar,ARTIFICIAL INTELLIGENCE–ENABLED COMPUTATIONAL PATHOLOGY: FOUNDATION MODELS FOR NEXT-GENERATION PRECI,10.65713/ijaraiv14i1226,,
NEW,No match found,141,semantic_scholar,Screening of Biosecurity Features in Metagenomic Data with Evo 2 Probes,,,
MERGE,DOI match: 10.1186/s12964-026-03063-z,15,semantic_scholar,AI-driven multi-omics deciphering of extrachromosomal circular DNA rescues hidden targets in colorec,10.1186/s12964-026-03063-z,pubmed,AI-driven multi-omics deciphering of extrachromosomal circular DNA rescues hidden targets in colorec
NEW,No match found,142,semantic_scholar,Multimodal Empirical Bayes Variational Autoencoders for Joint Longitudinal and Time-to-Event Modelin,,,
NEW,No match found,143,semantic_scholar,Anchoring virtual cells on gene programs: From biological networks to patient digital twins,10.70401/exo.2026.0013,,
NEW,No match found,144,semantic_scholar,Harnessing deep learning for the discovery of latent patterns in multi-omics medical data,10.53388/mdm202609004,,
NEW,No match found,145,semantic_scholar,Metagenomic contextualization of proteins with state space models,10.64898/2026.07.07.736993,,
NEW,No match found,146,semantic_scholar,SPATIAL OMICS AND FOUNDATION AI MODELS: DECODING TUMOR HETEROGENEITY FOR PRECISION ONCOLOGY,10.65713/ijaraiv14i1224,,
MERGE,DOI match: 10.1038/s41467-026-76230-y,102,semantic_scholar,Unify learns cellular evolution with universal multimodal embeddings,10.1038/s41467-026-76230-y,openalex,Unify learns cellular evolution with universal multimodal embeddings
NEW,No match found,147,semantic_scholar,AI for Scientific Discovery in Omics Data-Driven Precision Medicine.,,,
MERGE,DOI match: 10.3389/fphar.2026.1753893,53,semantic_scholar,Deciphering tuberculosis pathway mechanisms via graph neural networks and multimodal deep learning: ,10.3389/fphar.2026.1753893,openalex,Deciphering tuberculosis pathway mechanisms via graph neural networks and multimodal deep learning: 
NEW,No match found,148,semantic_scholar,AI-Integrated multimodal precision oncology in ocular tumors: From diagnosis to reconstruction,10.18231/j.ijooo.44289.1785470834,,
NEW,No match found,149,semantic_scholar,Zero-Cost Virtual RNA: Approximating Immunotherapy Signatures via Cross-Modal WSI Retrieval,,,
NEW,No match found,150,semantic_scholar,Modelling the 4D Space-Time of Cardiac Differentiation,10.5772/acrt.20250127,,
NEW,No match found,151,semantic_scholar,Semantic fragment representations for coordinate-free analysis of genomics data,10.64898/2026.07.09.737627,,
NEW,No match found,152,semantic_scholar,Foundation-model-guided radiogenomic discovery linking cancer genomes to cancer scans,,,
MERGE,DOI match: 10.1038/s41586-026-10842-8,95,semantic_scholar,Miniaturizing and modifying natural proteins with Raygun.,10.1038/s41586-026-10842-8,openalex,Miniaturizing and modifying natural proteins with Raygun
NEW,No match found,153,semantic_scholar,UMCA-Net: Uncertainty-aware multi-stage cross-attention for cost-aware multi-omics data classificati,10.1016/j.compbiomed.2026.111860,,
