record_id,title,doi,final_decision,final_code,uncertainty_reason,final_source,final_rationale,evidence_snippet,scope_primary_exclusion_code,scope_uncertainty_reason,architecture_primary_exclusion_code,architecture_uncertainty_reason
rec_000011,Integrating artificial intelligence and multi-omics data for precision oncology in endometrial cancer: a narrative review.,10.1007/s10142-026-01957-2,EXCLUDE,review_editorial,foundation_model_evidence_unclear,adjudicator,The abstract states this is a narrative review synthesizing AI-driven multi-omics evidence in endometrial cancer. No new model or generative architecture is introduced.,"""In this review, we synthesize the latest evidence on AI-driven multi-omics research in EC""",review_editorial,none,review_editorial,foundation_model_evidence_unclear
rec_000012,"Artificial Intelligence in drug discovery and development: current landscape, challenges, and future perspectives.",10.1016/j.critrevonc.2026.105461,EXCLUDE,review_editorial,foundation_model_evidence_unclear,adjudicator,"This is a critical review of AI in drug discovery and development, not a primary model paper. Generative modeling and LLMs are discussed as landscape topics rather than a candidate system.","""This review critically examines the evolution of AI approaches"" and mentions ""generative modeling"" and ""large language models (LLMs)""",review_editorial,none,review_editorial,foundation_model_evidence_unclear
rec_000013,Generative Artificial Intelligence and Large Language Models in Clinical Oncology.,10.1002/mco2.70833,EXCLUDE,review_editorial,none,adjudicator,"The abstract explicitly says this is a review of generative AI in clinical oncology, not a primary model paper. It discusses biomedical and clinical-text integration, but only at the survey level.","""This review provides an overview of generative AI in clinical oncology"" and ""including electronic health records ... genomics, and clinical text""",review_editorial,none,review_editorial,foundation_model_evidence_unclear
rec_000014,A Genomics-Guided Multimodal Contrastive Learning Framework for Clinically Significant Prostate Cancer Risk Stratification with Missing Clinical Data.,10.3390/cancers18121952,EXCLUDE,EC2_no_text_component,none,adjudicator,This is a primary multimodal contrastive learning framework for prostate cancer risk stratification. The abstract gives no substantive text component and does not describe a generative model.,"""models genomics as the primary biological anchor"" and ""imaging modalities, including multiparametric MRI and whole-slide histopathology""",EC2_no_text_component,none,EC3_not_generative,foundation_model_evidence_unclear
rec_000015,"Emerging Pathways to Non-Invasive Diagnosis in Endometriosis: Integrating Machine Learning, Deep Learning and Multi-Omics Biomarkers.",10.3390/diagnostics16121823,EXCLUDE,review_editorial,none,adjudicator,"The abstract is a review of AI methods for endometriosis diagnosis, not a new model. It mentions NLP and imaging, but only as survey topics.","""This review summarises current developments of AI-including machine learning, deep learning, and natural language processing""",review_editorial,none,review_editorial,foundation_model_evidence_unclear
rec_000016,Deep survival analysis in multimodal medical data: a parametric and probabilistic approach with competing risks.,10.1038/s41598-026-57704-x,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC4_no_foundation_model_evidence,none
rec_000017,Cellular architecture and neighborhood-informed virtual spatial tumor profiling from histopathology.,10.1016/j.cell.2026.05.031,EXCLUDE,EC2_no_text_component,none,adjudicator,"The abstract describes a new AI platform for histopathology-based spatial profiling, not a wrapper. It includes foundation-model-based encoding but no text modality.","""foundation-model-based morphological encoding""; ""predicts CN-anchored habitat structures from H&E slides""",EC2_no_text_component,none,application_wrapper,none
rec_000018,CME-KGDTI: integrating clustered mutations into knowledge graph embedding for drug-target interaction prediction.,10.1186/s13040-026-00576-8,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000019,Charting the computational landscape of single-cell genetic perturbation.,10.1016/j.jare.2026.06.012,EXCLUDE,review_editorial,none,adjudicator,The abstract says it summarizes and reviews single-cell perturbation analysis methods and workflows. It does not present a new model or a text-based bridge.,"""We summarize current methods""; ""This review provides a basis for method reporting and interpretation""",review_editorial,mixed_signals,review_editorial,none
rec_000020,Fusing imaging and metabolic modeling via multimodal deep learning in ovarian cancer.,10.1016/j.cels.2026.101594,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000021,Geranium: Multimodal Retrieval of Genomics Data Visualizations.,10.1109/TVCG.2026.3683429,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
rec_000022,Non-invasive profiling of the tumour microenvironment with spatial ecotypes,10.1038/s41586-026-10452-4,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000023,3D Masked Autoencoders are Robust Learners of Volumetric and Multimodal Cellular Representations for Microscopy,,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC4_no_foundation_model_evidence,none
rec_000024,Data-Efficient Multimodal Alignment for Histopathology-based Molecular Prediction,,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
rec_000025,The Impact of Machine Learning and AI on Bioinformatics,10.54097/7kn89v49,EXCLUDE,review_editorial,none,adjudicator,"This is a review of AI and ML in bioinformatics, with generative models mentioned only as a future direction. It is not a primary generative model paper.","""This paper examines the evolving role of AI and ML""; ""Future directions highlight the potential of generative models""",review_editorial,none,review_editorial,mixed_signals
rec_000026,"The Evolution of Breast Cancer Detection: A Review of Imaging, Machine Learning, and Multimodal Strategies",10.1002/cso2.70018,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000027,eRNAformer enables genome-wide de novo mapping of enhancer-derived RNA loci,10.64898/2026.06.24.734403,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000028,Research progress and challenges of multimodal deep learning models for prognosis of gastric cancer.,10.1007/s12672-026-05431-0,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000029,An AI-Driven Digital Twin Framework for Personalized Drug Response Prediction and Virtual Treatment Simulation,10.66261/5cyby265,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000030,Adaptive Gated Multimodal Fusion for Explainable and Uncertainty-Aware Tumor Grade Assessment,10.1109/ACCESS.2026.3701753,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000031,Radiomics in Lung Cancer Imaging: A Narrative Review of Current Evidence,10.3390/jimaging12070287,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000032,Anchoring virtual cells on gene programs: From biological networks to patient digital twins,10.70401/exo.2026.0013,EXCLUDE,review_editorial,none,adjudicator,"This is explicitly a Perspective proposing a framework for virtual cells and patient digital twins, not a candidate model paper. It mentions neural networks and gene programs, but no text modality or generative architecture.","""In this Perspective, we introduce""; ""Anchoring virtual models on GPs""",review_editorial,none,review_editorial,mixed_signals
rec_000033,Predicting Immune Biomarkers with MultiModal Mixture-of-Expert Pathology Foundation Models Empowers Precision Oncology,,EXCLUDE,EC3_not_generative,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,none,none,EC3_not_generative,none
rec_000034,Autism Spectrum Disorder from Pathophysiology to AI-Driven Precision Medicine A Review,10.1922/pjs.16.3s.2026.542,EXCLUDE,review_editorial,text_bio_bridge_unclear,adjudicator,"This is explicitly a review of ASD pathophysiology and AI-enabled precision medicine. It cites multimodal datasets and AI methods, but no candidate generative model is described.","""This review summarizes""; ""Machine learning and deep learning algorithms can integrate multimodal datasets""",review_editorial,none,review_editorial,none
rec_000035,MintCNA: A Unified Framework for Integrative Copy Number Profiling with Single-Cell Multi-Omics Data,10.64898/2026.06.26.734559,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000036,Heavy-chain immune repertoire sequencing enables language-model prediction of antigen-specific antibodies,10.21203/rs.3.rs-9710622/v1,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,EC3_not_generative,none
rec_000037,Research progress of multimodal ultrasound radiomics and deep learning in predicting lymph node metastasis of papillary thyroid carcinoma,10.54254/3049-5458/2026.34768,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000038,DeepSpot-M: a multimodal foundation model for transcriptome-wide virtual spatial transcriptomics from histology,10.64898/2026.06.19.26356060,EXCLUDE,EC3_not_generative,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,none,none,EC3_not_generative,none
rec_000039,Decoding the Lymphangioleiomyomatosis (LAM) Niche Microenvironment via Integrative Analysis of Single Cell Multiomics and Spatial Transcriptomics.,10.1183/13993003.02049-2025,EXCLUDE,EC2_no_text_component,none,adjudicator,"This is an original multiomics atlas study of the LAM niche using RNA-seq, ATAC-seq, and spatial transcriptomics. No text/language component or generative model is described.","""integrating single-cell/nucleus RNA-seq, single-nucleus ATAC-seq, and spatial transcriptomics""",EC2_no_text_component,none,EC3_not_generative,paper_type_unclear
rec_000040,DeepCDS: Ab initio coding sequence prediction in prokaryotic short reads,10.64898/2026.06.17.732633,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000041,Artificial Intelligence and Deep Learning for Antimicrobial Resistance Prediction: A Scoping Review of Architectures and Explainability,10.1109/ACCESS.2026.3698372,EXCLUDE,review_editorial,text_bio_bridge_unclear,adjudicator,"This is a scoping review of AMR prediction architectures. The LLM and foundation-model mention refers to surveyed methods, not a model presented in this paper.","""A scoping review of architectures and explainability""; ""large language model and foundation model approaches""",review_editorial,none,review_editorial,generative_status_unclear
rec_000042,Predicting piRNA-Disease Associations Based on Dual-View Learning and Multi-head Self-Attention Mechanism Fusion.,10.1007/s12539-026-00854-3,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000043,Spatial Visual Proteomics: Insights into Tumor Microenvironment Dynamics.,10.1093/gpbjnl/qzag045,EXCLUDE,review_editorial,none,adjudicator,"This is a review of spatial proteomic technologies and computational tools. The abstract describes methods and applications, not a new generative text-bio model.","""This review explores advancements in spatial visual proteomic technologies""",review_editorial,none,review_editorial,generative_status_unclear
rec_000044,A Transformer-based Multi-omics Model for Translation Efficiency in S. cerevisiae,10.64898/2026.06.21.723404,EXCLUDE,EC2_no_text_component,none,adjudicator,TRIM is a transformer-based predictor for translation efficiency using mRNA and multi-omics data. The abstract does not describe a text modality or a clearly generative/foundation-model architecture.,"""Transformer-based RNA Inference Model""; ""leverages full-length mRNA sequences and multi-omics data""",EC2_no_text_component,none,EC4_no_foundation_model_evidence,generative_status_unclear
rec_000045,AI foundation models in plant biology.,10.1111/nph.71395,EXCLUDE,review_editorial,none,adjudicator,The abstract describes a broad review of AI foundation models in plant biology and summarizes existing applications. It does not present a new primary generative model.,"""AI foundation models in plant biology""; ""Across plant science, these FMs are already making an impact""",review_editorial,none,review_editorial,generative_status_unclear
rec_000046,HoloCell: A Generative Foundation Model for Holistic Cellular Modeling,10.64898/2026.06.07.730684,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
rec_000047,"Probing, Fusion, and Trustworthiness: A Systematic Evaluation of Foundation Model Representations for Multimodal Cancer Analysis",,EXCLUDE,benchmark_resource,none,adjudicator,"This is a systematic evaluation of existing foundation-model representations on multimodal cancer tasks, not a new model paper. The abstract clearly centers on benchmarking and fusion comparisons.","""This work systematically evaluates FM-based representations""; ""benchmark unimodal probing performance""",benchmark_resource,none,benchmark_resource,foundation_model_evidence_unclear
rec_000048,Artificial intelligence for child health: current capabilities and the next frontier.,10.1136/archdischild-2026-330388,EXCLUDE,review_editorial,none,adjudicator,"The abstract is a broad review of AI in child health, covering current capabilities and future directions. It mentions generative models but does not describe a specific primary text-bio foundation model.","""Artificial intelligence (AI) is reshaping paediatric healthcare""; ""generative models are enabling earlier detection""",review_editorial,none,review_editorial,generative_status_unclear
rec_000049,"Artificial Intelligence in Inherited Epidermolysis Bullosa: Current Evidence, Challenges, and Future Directions",10.3390/diagnostics16132022,EXCLUDE,review_editorial,none,adjudicator,The abstract explicitly calls this a structured narrative review of AI applications in epidermolysis bullosa. It synthesizes prior evidence rather than introducing a new model.,"""This structured narrative review synthesises current evidence on AI applications in EB""",review_editorial,none,review_editorial,none
rec_000050,How Post-Training Shapes Biological Reasoning Models,,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
rec_000051,AMP: Automatic Modality-Aware Parallelization with Hidden-Dimension Tensor Parallelism for Multi-Modal 3D Biological Models,10.3390/electronics15132769,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
rec_000052,TMO: Asymmetric Cross-Modal Attention For Learning Cell-State-Dependent Regulatory Lags From Single-Cell Multiomic Data,10.64898/2026.06.08.730880,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000053,Information from coincidences,,EXCLUDE,EC1_no_bio_modality,paper_type_unclear,adjudicator,This is a theoretical information-theory paper with illustrative uses on language-model predictives and genomic sequence. The abstract does not support a substantive biological model paper.,"""We prove a single algebraic mixed coincidence identity""; ""language-model next-token predictives""",EC1_no_bio_modality,paper_type_unclear,EC4_no_foundation_model_evidence,paper_type_unclear
rec_000054,"biomeStat: Using Agentic AI for Scalable Genomic Epidemiology Demonstrated Through End-to-End Analysis of 1,000 Asian Dengue Virus Genomes",10.64898/2026.06.10.731380,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
rec_000055,VCBench: A Multi-Dimensional Benchmark for Single-Cell Foundation Models,10.64898/2026.06.18.733146,EXCLUDE,benchmark_resource,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,benchmark_resource,none,benchmark_resource,none
rec_000056,Analysis of Multi-Omics Data in Breast Cancer Subtype Classification,10.1109/ACCESS.2026.3695279,EXCLUDE,EC2_no_text_component,none,adjudicator,"This is a primary multi-omics breast cancer classification study using feature selection, fusion, and classifiers. The abstract does not describe a substantive text component or generative foundation model.","""Three omics modalities, mRNA expression (EXP), copy-number alterations (CNA), and somatic mutations (MUT)""",EC2_no_text_component,none,application_wrapper,none
rec_000057,Multimodal machine learning and deep graph neural networks for the prediction of molecular inhibitory activity and disease associations,10.1007/s10822-026-00858-7,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000058,"DNA Compression with Genomic Language Models: Tokenization, Benchmarking, and an Information-Content Map",10.64898/2026.06.10.731316,EXCLUDE,benchmark_resource,none,adjudicator,"The abstract centers on benchmarking genomic language models as compressors and releasing DNAGPT2, so this is primarily a benchmark/resource paper. It still clearly describes pretrained GPT-2-style generative models over DNA.",“evaluate genomic language models as compressors of DNA” and “We release DNAGPT2”,benchmark_resource,none,none,none
rec_000059,Predicting optimal growth temperatures of bacteria using learned structural information from a single protein,10.64898/2026.06.15.732269,EXCLUDE,application_wrapper,none,adjudicator,"ROSEATE is a downstream OGT predictor built on embeddings from an existing protein language model, not a new generative text-bio model. The language model is used as a feature extractor, so this is a wrapper-style application.",“uses high-dimensional latent space encoding via MSA Transformer” to “infer OGT”,application_wrapper,none,EC3_not_generative,none
rec_000060,CellTosg2Sequence: A Unified Text-Omics-Signaling-Graph Large Language Model for Single-Cell Analysis,10.64898/2026.06.16.732397,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
rec_000061,scLLM-DSC: LLM-Knowledge Enhanced Cross-Modal Deep Structural Clustering for Single-Cell RNA Sequencing,,EXCLUDE,application_wrapper,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,application_wrapper,none,application_wrapper,none
rec_000062,P29 Hidden immune memory niches in inflammatory skin diseases,10.1093/bjd/ljag151.068,EXCLUDE,application_wrapper,none,adjudicator,"This is a multimodal skin-atlas and transfer-learning study, not a text-based generative model paper. The abstract describes deep learning for niche decoding, with no substantive text-bio bridge or generative architecture.",“generated a spatially resolved multimodal molecular atlas” and “applied deep learning to unbiasedly decode 26 skin niches”,application_wrapper,none,EC3_not_generative,none
rec_000063,Reading between the bases: technological advances in RNA modification detection,10.3389/frnar.2026.1872456,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000064,SGL-CDP: Spectral Graph Learning for Cancer Driver Prioritization,10.1109/ACCESS.2026.3675370,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000065,Deep learning-enabled discovery of antibiotics effective against Neisseria gonorrhoeae.,10.1126/scitranslmed.ads4699,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000066,Deep learning for cardiovascular disease: a comprehensive review of detection and risk forecasting,10.3389/frai.2026.1840804,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000067,Predicting early-stage breast cancer disease-free survival and adjuvant therapy benefit from multimodal information using deep learning.,10.1038/s41523-026-00991-4,EXCLUDE,EC3_not_generative,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,none,none,EC3_not_generative,none
rec_000068,Time-to-event modeling in lung cancer prognosis: From classical survival Analysis to machine and deep learning approaches,10.1051/bioconf/202624001035,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000069,"Synthetic Data Generation for Healthcare and Wellness: Methods, Applications, and Future Directions",10.33093/jiwe.2026.5.2.21,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000070,Artificial intelligence for triple-negative breast cancer from imaging to multi-omics,10.3389/fonc.2026.1834128,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000071,Multi-dimensional decoding of the TSPO signal in animal models of neuroinflammation using fluorescence-conjugated DPA714,10.1186/s12974-026-03829-9,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000072,AI-Driven Early Diagnosis of Autism Spectrum Disorder: Current Status and Future Perspectives,10.25236/ajmhs.2026.070201,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000073,Generating antimicrobial peptides via genomic transfer learning,10.64898/2026.06.16.732639,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
rec_000074,CellOS: Learning a World Model of Cellular State through Joint Embedding Prediction,10.64898/2026.06.18.733163,INCLUDE,none,none,python_gate,All first-pass criteria were positive without unresolved uncertainty.,,none,none,none,none
rec_000075,Alternative routes to universal diversity scaling in component systems: from proteomes to large language models,,EXCLUDE,EC2_no_substantive_text_bio_bridge,paper_type_unclear,adjudicator,"The abstract is a theoretical analysis of diversity-scaling laws across component systems, not a paper introducing a generative text-bio model. It mentions language, genomes, and LLM-generated text only as comparison data, not as the model under study.",“derive analytical conditions” and compare with “texts generated by large language models”,EC2_no_substantive_text_bio_bridge,none,EC3_not_generative,paper_type_unclear
rec_000076,Deep learning based attention enhanced phylogenetic radial basis function networks (AE-PRBFN) for genomic codon usage classification across species,10.1038/s41598-026-48503-5,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000077,Deep learning in multi-omics integration for gastrointestinal cancer biomarker discovery,10.3389/fonc.2026.1856641,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000078,Deciphering immune-inflammatory dysregulation in the endometriotic microenvironment: insights from single-cell omics and artificial intelligence,10.3389/fimmu.2026.1848643,EXCLUDE,review_editorial,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,review_editorial,none,review_editorial,none
rec_000079,Enhancing risk stratification in cancer treatment outcomes: a deep learning-based comparative study of survival and binary models,10.1088/2632-2153/ae7cd9,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000080,"Multimodal spatiotemporal atlas to reveal CCDC3
 +
 CAFs as drivers of liver metastasis in colorectal cancer.",10.1200/jco.2026.44.19_suppl.25,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000081,Harnessing artificial intelligence in laboratory diagnostics emerging trends and future prospects,10.1007/s44163-026-01599-0,EXCLUDE,review_editorial,text_component_unclear,adjudicator,"This is explicitly a narrative review of AI in laboratory diagnostics, not a primary model paper. It mentions NLP among surveyed methods, but does not describe a candidate generative text-bio model.",“This review provides valuable insights” and “This narrative review explores the evolution of laboratory diagnostics”,review_editorial,text_component_unclear,review_editorial,none
rec_000082,Multimodal Hypersampling of the adult human heart resolves tissue-specific cell states and disease-associated variants,10.64898/2026.06.16.732617,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000083,HiST: A Hierarchical Sparse Transformer for Cross-Modal Spatial Transcriptomics Modeling,,EXCLUDE,EC2_no_text_component,none,python_gate,First-pass reviewers gave a decisive exclusion criterion without unresolved uncertainty.,,EC2_no_text_component,none,EC3_not_generative,none
rec_000084,"Artificial Intelligence models in autoimmune disease prediction: Current applications, challenges, and future perspectives",10.30574/ijsra.2026.19.3.1247,EXCLUDE,review_editorial,text_component_unclear,adjudicator,"The abstract states this is a narrative review of AI models in autoimmune disease prediction, so it is not a primary generative model paper. It surveys NLP and other AI applications rather than presenting a new text-bio foundation model.","“This narrative review summarizes current applications of artificial intelligence models” and “machine learning, deep learning, natural language processing”",review_editorial,text_component_unclear,review_editorial,none
rec_000085,DNA Language Models: An Assessment of Pre-Training for Fine-Tuning Tasks,,INCLUDE,none,none,adjudicator,"This is a primary study of DNA language models and pretraining for genomics fine-tuning tasks. The abstract explicitly references foundation models, LLMs, and BPE tokenization applied to genomic sequences.","""DNA Language Models""; ""Recent breakthroughs in foundation models and Large Language Models""; ""LLMs such as DNABERT2""",none,mixed_signals,benchmark_resource,generative_status_unclear
