record_id,old_configuration_id,current_configuration_id,mapping_status,supporting_primary_routes,mean_route_score,old_split_degree,current_merge_degree,old_route_count,current_route_count,old_lifecycle_phase,current_lifecycle_phase,old_task,current_task
full_2026-07-06__rec_000086,,config_72c35ec819bd,current_only_unmapped,0,,,,0,1,,evaluation,,"Using descriptions from the Diagnostic and Statistical Manual of Mental Disorders (DSM-5), we incrementally expand prompts from the disease name alone ('Disease') to include 'Diagnostic Features' and 'Associated Features Supporting Diagnosis.'"
full_2026-07-06__rec_000086,,config_7612559b9f05,current_only_unmapped,0,,,,0,1,,evaluation,,Precise function
full_2026-07-06__rec_000086,,config_7bae17ec6575,current_only_unmapped,0,,,,0,1,,evaluation,,Drugbank Transporter
full_2026-07-06__rec_000086,,config_991a56245b75,current_only_unmapped,0,,,,0,4,,fine_tuning,,"A comprehensive PROCYON-INSTRUCT dataset with 33,899,528 protein-phenotype instructions is curated from five knowledge domains"
full_2026-07-06__rec_000086,,config_a5406ac959eb,current_only_unmapped,0,,,,0,1,,fine_tuning,,"retrieval, QA, and phenotype generation tasks"
full_2026-07-06__rec_000086,,config_c81d5d1f9649,current_only_unmapped,0,,,,0,1,,evaluation,,Protein function retrieval
full_2026-07-06__rec_000086,,config_d8d53784b84e,current_only_unmapped,0,,,,0,1,,evaluation,,External validation of disease-associated protein retrieval across different lines of evidence for association.
full_2026-07-06__rec_000086,,config_dee28cec603c,current_only_unmapped,0,,,,0,1,,evaluation,,Benchmark retrieval across task types
full_2026-07-06__rec_000086,,config_e5d13f421ef7,current_only_unmapped,0,,,,0,1,,inference,,protein interaction prediction
full_2026-07-06__rec_000086,,config_ef318b451e47,current_only_unmapped,0,,,,0,1,,evaluation,,GO Function
full_2026-07-06__rec_000086,,config_f27afc5252c3,current_only_unmapped,0,,,,0,1,,inference,,disease associated protein retrieval
full_2026-07-06__rec_000086,,config_fd6d26b9af6e,current_only_unmapped,0,,,,0,1,,evaluation,,Biological pathway retrieval benchmark
full_2026-07-06__rec_000086,config_04b1d2183a09,,old_only_unmapped,0,,,,1,0,fine_tuning,,Drugbank Transporter,
full_2026-07-06__rec_000086,config_0b319d328431,config_d9c453530470,route_supported_mapping,3,0.821107,1,1,4,3,inference,evaluation,phenotype generation,phenotype generation
full_2026-07-06__rec_000086,config_1b7288b4a028,config_2f56a8eaf38c,route_supported_mapping,1,0.646709,1,1,2,1,inference,inference,indication-specific retrieval of drug targets,protein function retrieval
full_2026-07-06__rec_000086,config_37acd65242bc,,old_only_unmapped,0,,,,1,0,fine_tuning,,GtoP,
full_2026-07-06__rec_000086,config_569f2c5902d7,config_f42dcc13c120,route_supported_mapping,2,0.836988,1,1,2,2,inference,evaluation,protein retrieval,protein retrieval
full_2026-07-06__rec_000086,config_593d0c90bfbc,config_54ef93b735da,route_supported_mapping,1,0.643142,1,1,2,1,inference,inference,identifying drug-binding protein domains,domain based protein retrieval
full_2026-07-06__rec_000086,config_7159488fc62c,config_404ae1a44c21,route_supported_mapping,1,0.614547,1,1,1,3,fine_tuning,fine_tuning,GO Function,"PROCYON-INSTRUCT, an instruction tuning dataset that spans 12 data sources and 5 knowledge domains"
full_2026-07-06__rec_000086,config_8d534f065f0d,,old_only_unmapped,0,,,,1,0,fine_tuning,,Drugbank Target,
full_2026-07-06__rec_000086,config_c0422a60cbdc,,old_only_unmapped,0,,,,1,0,fine_tuning,,Drugbank Enzyme,
full_2026-07-06__rec_000086,config_cb7173bed416,,old_only_unmapped,0,,,,3,0,inference,,question-answering,
full_2026-07-06__rec_000086,config_de3f51360710,config_5f87d2b37166,route_supported_mapping,1,0.67308,1,1,1,3,fine_tuning,evaluation,GO Process,ProCyon instruction split evaluation
full_2026-07-06__rec_000086,config_fa9b3a593edf,,old_only_unmapped,0,,,,1,0,fine_tuning,,predict protein-peptide binding,
full_2026-07-06__rec_000090,,config_6a4092dc936d,current_only_unmapped,0,,,,0,1,,evaluation,,Single-cell bulk integration
full_2026-07-06__rec_000090,,config_a4393294c22e,current_only_unmapped,0,,,,0,1,,fine_tuning,,Virtual screen setup
full_2026-07-06__rec_000090,,config_b4dd8cadb16d,current_only_unmapped,0,,,,0,1,,pretraining,,Multiple cell language modeling; Tissue sample annotation; Sample cell type(s) annotation; Conditional sample generation (tissue); Conditional sample generation (cell type); Conditional sample generation (abstract); Natural language interpretation
full_2026-07-06__rec_000090,config_02f830343904,config_02f830343904,stable_id,0,,1,2,1,1,fine_tuning,fine_tuning,small molecule perturbations in bulk RNAseq,Small Molecule Perturbations in Bulk RNAseq
full_2026-07-06__rec_000090,config_06373735b2b4,config_7de8c496a60a,route_supported_mapping,1,0.673458,1,1,1,1,pretraining,pretraining,single cell language modeling,Single cell language modeling; Cell type annotation; Conditional cell generation
full_2026-07-06__rec_000090,config_1b4235839aeb,config_9c070c42984b,route_supported_mapping,1,0.719187,1,1,2,1,fine_tuning,fine_tuning,spatial neighborhood prediction,Spatial neighborhood prediction; Conditional neighbor generation; Niche label prediction; Same niche prediction
full_2026-07-06__rec_000090,config_2d4839cf2021,,old_only_unmapped,0,,,,1,0,pretraining,,sample cell type(s) annotation,
full_2026-07-06__rec_000090,config_2eca438f07b3,,old_only_unmapped,0,,,,1,0,fine_tuning,,perturbation effect prediction - PBMC,
full_2026-07-06__rec_000090,config_328922eb081f,config_328922eb081f,stable_id,1,0.706678,1,1,1,1,fine_tuning,fine_tuning,cluster captioning,Cluster captioning
full_2026-07-06__rec_000090,config_3fc0d49c17f1,,old_only_unmapped,0,,,,2,0,fine_tuning,,niche label prediction,
full_2026-07-06__rec_000090,config_43df16723612,,old_only_unmapped,0,,,,1,0,pretraining,,cell type annotation,
full_2026-07-06__rec_000090,config_4a5945678a8b,,old_only_unmapped,0,,,,1,0,pretraining,,conditional sample generation (abstract),
full_2026-07-06__rec_000090,config_516b3808f832,,old_only_unmapped,0,,,,1,0,pretraining,,conditional cell generation,
full_2026-07-06__rec_000090,config_76990fdf8f04,config_76990fdf8f04,stable_id,1,0.765949,1,1,1,1,fine_tuning,fine_tuning,small molecule perturbations in single-cell RNAseq,Small Molecule Perturbations in single-cell RNAseq
full_2026-07-06__rec_000090,config_9372d7a0fd63,config_aa6fd5dcdc8b,route_supported_mapping,1,0.667933,1,1,1,1,fine_tuning,fine_tuning,perturbation effect prediction - SciPlex3,Cell type annotation
full_2026-07-06__rec_000090,config_a13982325869,config_e995b9f3ef6c,route_supported_mapping,1,0.664817,1,1,1,1,fine_tuning,fine_tuning,predict responses to unseen cytokine stimulations,Cytokine Stimulation; Perturbation response prediction
full_2026-07-06__rec_000090,config_a4b62527a937,config_83d6ff91fa18,route_supported_mapping,1,0.65077,1,1,1,1,pretraining,evaluation,conditional sample generation (cell type),Cell generation
full_2026-07-06__rec_000090,config_aa411d005f6c,,old_only_unmapped,0,,,,1,0,pretraining,,tissue sample annotation,
full_2026-07-06__rec_000090,config_bea3feb5ab73,config_02f830343904,route_supported_mapping,1,0.668036,1,2,1,1,fine_tuning,fine_tuning,perturbation effect prediction - L1000,Small Molecule Perturbations in Bulk RNAseq
full_2026-07-06__rec_000090,config_c183f29c50dc,,old_only_unmapped,0,,,,2,0,fine_tuning,,conditional neighbor generation,
full_2026-07-06__rec_000090,config_ce9fa02cfa58,,old_only_unmapped,0,,,,2,0,inference,,dual-context virtual screening,
full_2026-07-06__rec_000090,config_cfc7b4daef3e,,old_only_unmapped,0,,,,1,0,pretraining,,gene set enumeration,
full_2026-07-06__rec_000090,config_d3011b51ed73,config_2c9d4bb1b06f,route_supported_mapping,1,0.723917,1,1,2,1,fine_tuning,fine_tuning,gene interaction prompts,CellPhoneDB and BioGRID interaction prompts
full_2026-07-06__rec_000090,config_d45a6c90f61c,config_93a6487f7864,route_supported_mapping,1,0.667796,1,1,1,1,pretraining,pretraining,gene set naming,Gene set enumeration; Gene set naming
full_2026-07-06__rec_000090,config_e05628c202c5,,old_only_unmapped,0,,,,2,0,fine_tuning,,same niche prediction,
full_2026-07-06__rec_000090,config_e101a68fa73e,config_e101a68fa73e,stable_id,1,0.734733,1,1,2,1,fine_tuning,fine_tuning,question answering,Question answering
full_2026-07-06__rec_000090,config_e346a9022aa6,,old_only_unmapped,0,,,,1,0,pretraining,,conditional sample generation (tissue),
full_2026-07-06__rec_000090,config_e952d5bdaa2f,,old_only_unmapped,0,,,,1,0,pretraining,,natural language interpretation,
full_2026-07-06__rec_000090,config_f01bace592cf,,old_only_unmapped,0,,,,1,0,pretraining,,multiple cell language modeling,
full_2026-07-06__rec_000090,config_f70f0e040253,config_f70f0e040253,stable_id,1,0.726224,1,1,1,1,evaluation,evaluation,dataset interpretation,Dataset interpretation
full_2026-07-06__rec_000771,,config_63fbe9cc1710,current_only_unmapped,0,,,,0,1,,fine_tuning,,multiple turns with consecutive questions; exchanges where the question refers to multiple sequences
full_2026-07-06__rec_000771,,config_addd7d464405,current_only_unmapped,0,,,,0,1,,fine_tuning,,RNA polyadenylation and degradation tasks
full_2026-07-06__rec_000771,config_4ce489322036,config_3b68c196f02e,route_supported_mapping,1,0.846031,1,1,2,1,fine_tuning,fine_tuning,one or multiple DNA sequences and an English prompt,genomics tasks framed in English
full_2026-07-06__rec_000771,config_c9d5acdde76d,config_c9d5acdde76d,stable_id,1,0.829142,1,1,1,1,fine_tuning,fine_tuning,protein tasks,protein tasks
full_2026-07-06__rec_000827,,config_6f1ccbd9e068,current_only_unmapped,0,,,,0,1,,pretraining,,generate a concise natural-language summary from the metadata
full_2026-07-06__rec_000827,,config_7538ed7a00b0,current_only_unmapped,0,,,,0,3,,fine_tuning,,generate chat-like conversations about transcriptomes and cell states
full_2026-07-06__rec_000827,,config_b184b153cb13,current_only_unmapped,0,,,,0,1,,evaluation,,Rewrite the provided text in five different variants
full_2026-07-06__rec_000827,,config_b7484e645621,current_only_unmapped,0,,,,0,1,,evaluation,,prepare textual annotations from metadata downloaded through the Entrez API
full_2026-07-06__rec_000827,,config_c6cff05cc790,current_only_unmapped,0,,,,0,1,,evaluation,,condensed their annotations using GPT-4o
full_2026-07-06__rec_000827,,config_f655c388e39b,current_only_unmapped,0,,,,0,2,,inference,,"explicitly providing a list of highly expressed genes as part of the prompt, in addition to the transcriptome embedding"
full_2026-07-06__rec_000827,config_024c4d43d53a,config_26dea27b9f22,route_supported_mapping,1,0.736591,1,1,2,2,inference,inference,chat-based investigation of interactively selected cells,responds to free-text questions and engages in natural-language chats about cells
full_2026-07-06__rec_000827,config_217b425cea45,,old_only_unmapped,0,,,,1,0,evaluation,,zero-shot prediction of cell characteristics,
full_2026-07-06__rec_000827,config_3381adc1d36c,,old_only_unmapped,0,,,,1,0,evaluation,,prompt augmentation with transcriptome context,
full_2026-07-06__rec_000827,config_698bc257de35,,old_only_unmapped,0,,,,1,0,evaluation,,gene-set label evaluation against GSVA enrichment,
full_2026-07-06__rec_000827,config_6bd896fd9609,,old_only_unmapped,0,,,,2,0,pretraining,,multimodal contrastive learning on paired transcriptomes and text,
full_2026-07-06__rec_000827,config_83291d85ab71,,old_only_unmapped,0,,,,1,0,evaluation,,prompt-variation robustness testing on embryonic development queries,
full_2026-07-06__rec_000827,config_ae53b99e676f,,old_only_unmapped,0,,,,1,0,inference,,free-text search for matching transcriptomes,
full_2026-07-06__rec_000827,config_b5d154bde25b,config_8786848df489,route_supported_mapping,2,0.749902,1,1,2,2,fine_tuning,fine_tuning,training on transcriptome-centric conversations,fine-tuned this LLM to produce the matched answers
full_2026-07-06__rec_000950,,config_55a3906cbcaa,current_only_unmapped,0,,,,0,1,,inference,,Condition on CATH topology
full_2026-07-06__rec_000950,,config_9362de33af21,current_only_unmapped,0,,,,0,1,,inference,,"conditioning on protein semantics, such as secondary structure, fold class"
full_2026-07-06__rec_000950,,config_d351e036e129,current_only_unmapped,0,,,,0,2,,inference,,programmable generation of protein systems
full_2026-07-06__rec_000950,,config_f51a8a28c295,current_only_unmapped,0,,,,0,1,,inference,,conditioning on secondary-structure composition
full_2026-07-06__rec_000950,config_3cf3653d0f75,config_30285285de77,route_supported_mapping,1,0.734241,1,1,1,1,inference,inference,outfill proteins from fixed substructures,protein infilling or outfilling
full_2026-07-06__rec_000950,config_44bfa7c197b1,,old_only_unmapped,0,,,,1,0,inference,,graft motifs into larger structures,
full_2026-07-06__rec_000950,config_820acd84f1ef,config_820acd84f1ef,stable_id,1,0.876614,1,1,1,1,inference,inference,enforce particular distances between atoms,enforce particular distances between atoms
full_2026-07-06__rec_000950,config_9d0b4de8720c,config_346ccf310ac1,route_supported_mapping,1,0.863725,1,1,1,1,inference,inference,shape adherence to arbitrary point clouds,conditioning the generation of single protein chains on the shapes of the Latin alphabet and Arabic numerals
full_2026-07-06__rec_000950,config_a54deb059a96,config_fe83bf7f4ba9,route_supported_mapping,1,0.683305,1,1,1,1,inference,inference,natural language conditioning,natural language captions
full_2026-07-06__rec_000950,config_c1e240d4e465,,old_only_unmapped,0,,,,1,0,inference,,conditioned by ProClass on CATH topology,
full_2026-07-06__rec_000950,config_cea3fcd87f01,,old_only_unmapped,0,,,,1,0,inference,,conditioned by ProClass on CATH class,
full_2026-07-06__rec_000950,config_d2abb6fb6e2e,config_aebdbb7ff9dc,route_supported_mapping,1,0.765488,1,1,1,1,inference,inference,sampling under arbitrary symmetry groups,conditioning on the symmetry of protein complexes
full_2026-07-06__rec_000950,config_d31c5fa0ec14,config_ec3c84fcc42d,route_supported_mapping,1,0.758037,1,1,1,1,inference,inference,generate sequence and side-chain conformations conditioned on the sampled backbone,Given backbones from this diffusion process
full_2026-07-06__rec_000950,config_e2bcf5a460d6,config_e2bcf5a460d6,stable_id,1,0.811866,1,1,1,1,inference,inference,unconditional samples of proteins and protein complexes,unconditional samples of proteins and protein complexes
full_2026-07-06__rec_001074,,config_bee4b50ef6b8,current_only_unmapped,0,,,,0,1,,evaluation,,Case Study of BIOREASON's Output
full_2026-07-06__rec_001074,config_930280086820,config_ab760363a2a6,route_supported_mapping,2,0.819156,1,1,2,2,fine_tuning,fine_tuning,Variant Effect Prediction of Coding Sequences,Variant Effect Prediction of Coding Sequences
full_2026-07-06__rec_001074,config_a07e3373ae23,,old_only_unmapped,0,,,,1,0,fine_tuning,,chromatin accessibility prediction across 20 DNase-seq tracks,
full_2026-07-06__rec_001074,config_b9f3131ce814,config_0e1cf756a45e,route_supported_mapping,1,0.801492,1,1,1,1,fine_tuning,fine_tuning,chromatin accessibility prediction across 20 DNase-seq tracks,chromatin accessibility prediction across 20 DNase-seq tracks
full_2026-07-06__rec_001074,config_dd4901a41763,config_9cb0e556b0e9,route_supported_mapping,2,0.809455,1,1,2,2,fine_tuning,fine_tuning,KEGG-Derived Biological Reasoning Dataset,KEGG-derived biological reasoning dataset
full_2026-07-06__rec_001074,config_f7ba31977fbb,config_b328edf6e110,route_supported_mapping,2,0.825814,1,1,2,2,fine_tuning,fine_tuning,Variant Effect Prediction of Coding Non-SNVs,Variant Effect Prediction of Coding Non-SNVs
full_2026-07-06__rec_001126,,config_1ab1af327eb6,current_only_unmapped,0,,,,0,1,,inference,,weighted gene-embedding average (CellHermes-w)
full_2026-07-06__rec_001126,config_1b14338d51e7,config_058714fbf0fa,route_supported_mapping,1,0.744464,1,1,1,1,fine_tuning,fine_tuning,tumor-reactivity classification with cell-level splitting and TCR-level splitting,tumor-reactivity classification
full_2026-07-06__rec_001126,config_1b70a9ab19ec,config_1b70a9ab19ec,stable_id,1,0.728992,1,1,1,1,pretraining,pretraining,masked language modeling (MLM),masked language modeling (MLM)
full_2026-07-06__rec_001126,config_52c8ea001d35,,old_only_unmapped,0,,,,1,0,evaluation,,weighted gene-embedding average (CellHermes-w),
full_2026-07-06__rec_001126,config_585c24d5e92b,config_3402b100d775,route_supported_mapping,1,0.66105,1,1,1,1,evaluation,inference,cell-specific gene embeddings,cell-type-specific gene embeddings
full_2026-07-06__rec_001126,config_5b163fc754a4,config_5b163fc754a4,stable_id,1,0.888382,1,1,1,1,pretraining,pretraining,masked node prediction,masked node prediction
full_2026-07-06__rec_001126,config_6911b2d15b94,config_26aa01d602cb,route_supported_mapping,1,0.766558,1,1,1,1,fine_tuning,fine_tuning,genetic interaction classification across four GI types,genetic interaction classification
full_2026-07-06__rec_001126,config_6ac53b07722a,config_d01cbb37c601,route_supported_mapping,1,0.692115,1,1,1,1,evaluation,inference,sentence-based embedding (CellHermes-s),sentence-based embedding (CellHermes-s)
full_2026-07-06__rec_001126,config_738a40ebc45e,config_738a40ebc45e,stable_id,1,0.817565,1,1,1,1,fine_tuning,fine_tuning,cell fitness prediction,cell fitness prediction
full_2026-07-06__rec_001126,config_923cc4c401f0,config_9b3859ba3b80,route_supported_mapping,1,0.783802,1,1,1,1,fine_tuning,fine_tuning,"gene set-based classification tasks including cell type, disease, phenotype, and rare disease","gene set-based tasks (cell type, disease, phenotype, and rare disease)"
full_2026-07-06__rec_001126,config_9375a57b2eac,config_9375a57b2eac,stable_id,1,0.885932,1,1,1,1,pretraining,pretraining,masked link prediction,masked link prediction
full_2026-07-06__rec_001126,config_b35b979a0811,config_8ef7057c2b5c,route_supported_mapping,1,0.743999,1,1,1,1,fine_tuning,fine_tuning,DEG prediction and gene expression change direction prediction,perturbation prediction (DEG prediction and gene expression change direction prediction)
full_2026-07-06__rec_001126,config_cff3721066ce,config_cecac222d356,route_supported_mapping,1,0.659889,1,1,1,1,evaluation,inference,gene embeddings,gene embeddings
full_2026-07-06__rec_001126,config_d2537cbc199f,config_2c546774b81a,route_supported_mapping,1,0.727933,1,1,1,1,inference,inference,text-based reasoning,text-based reasoning explanation for tumor-reactivity predictions
full_2026-07-06__rec_001126,config_e59ac3481d1d,config_e59ac3481d1d,stable_id,1,0.810994,1,1,1,1,pretraining,pretraining,autoregressive prediction,autoregressive prediction
full_2026-07-06__rec_001187,,config_28a9a7d267af,current_only_unmapped,0,,,,0,1,,evaluation,,multi-species aging clocks
full_2026-07-06__rec_001187,,config_36b6865a6803,current_only_unmapped,0,,,,0,1,,pretraining,,human clinical blood tests
full_2026-07-06__rec_001187,,config_6ff062e9843d,current_only_unmapped,0,,,,0,1,,pretraining,,cross-age group observational study (<age2diff> and <diff2age>) and aging-clock training
full_2026-07-06__rec_001187,,config_c7963bc5af93,current_only_unmapped,0,,,,0,1,,pretraining,,chemical omics screening (<cpd2diff> and <diff2cpd>)
full_2026-07-06__rec_001187,config_0c2aa213db9d,,old_only_unmapped,0,,,,2,0,pretraining,,"chemical omics screening, cross-age group observational study, and case-control condition study",
full_2026-07-06__rec_001187,config_1fc3843d2c5b,config_5626f90cf2cb,route_supported_mapping,1,0.791819,1,1,1,1,evaluation,evaluation,gene list generation for chemically induced expression perturbations,chemical screening on the LINCS holdout set
full_2026-07-06__rec_001187,config_284ae322a3ff,config_ce9056ba8d22,route_supported_mapping,1,0.901178,1,1,1,1,inference,inference,diff2cpd / diff2compound instruction for geroprotector discovery,diff2cpd / diff2compound instruction for geroprotector discovery
full_2026-07-06__rec_001187,config_451d50ab5208,config_50ebb50f276d,route_supported_mapping,1,0.912992,1,1,1,1,inference,inference,age2diff instruction for geroprotector discovery,age2diff instruction for geroprotector discovery
full_2026-07-06__rec_001187,config_59a0e1b84afd,,old_only_unmapped,0,,,,1,0,pretraining,,gene list and pathway interpretation,
full_2026-07-06__rec_001187,config_69cc0d91ecf9,config_e406945de0fc,route_supported_mapping,1,0.84696,1,1,1,1,evaluation,evaluation,train binary classifiers for 18 high-level Gene Ontology (GO) terms,train binary classifiers for 18 high-level Gene Ontology (GO) terms
full_2026-07-06__rec_001187,config_6ccc0bd6a599,config_a61df29bcbc9,route_supported_mapping,1,0.896646,1,2,1,2,pretraining,pretraining,multimodal extension with knowledge graph data,multimodal extension
full_2026-07-06__rec_001187,config_8700f9c1c72d,config_8700f9c1c72d,stable_id,1,0.69347,1,1,1,1,evaluation,evaluation,P3GPT-derived aging clocks,P3GPT-derived aging clocks
full_2026-07-06__rec_001187,config_96ed959e7e7f,config_a61df29bcbc9,route_supported_mapping,1,0.868166,1,2,1,2,pretraining,pretraining,multimodal extension with biomedical text,multimodal extension
full_2026-07-06__rec_001187,config_a07f0f913e18,config_c6fab3de6829,route_supported_mapping,1,0.825968,1,1,1,1,evaluation,evaluation,target identification via disease2diff prompts,"multimodal target enrichment across proteomic, transcriptomic, and methylomic domains"
full_2026-07-06__rec_001187,config_b7739ab034f9,,old_only_unmapped,0,,,,2,0,pretraining,,cross-age group observational study and case-control condition study,
full_2026-07-06__rec_001187,config_cd4b0d6d3f56,,old_only_unmapped,0,,,,1,0,pretraining,,blood biomarker training,
full_2026-07-06__rec_001187,config_d990390ee8a5,config_a99ce089fff2,route_supported_mapping,1,0.741931,1,1,1,1,pretraining,pretraining,protein-level omics training,case-control condition study (<diff2disease> and <disease2diff>) and multimodal target enrichment
full_2026-07-06__rec_001187,config_eb0761dea340,,old_only_unmapped,0,,,,1,0,pretraining,,train the transformer block,
full_2026-07-06__rec_001187,config_fe844b24925d,,old_only_unmapped,0,,,,1,0,evaluation,,multi-species aging clock,
full_2026-07-06__rec_001200,,config_4f143b5265d5,current_only_unmapped,0,,,,0,1,,pretraining,,single-cell network construction for link prediction
full_2026-07-06__rec_001200,,config_ca8e89be6fba,current_only_unmapped,0,,,,0,1,,pretraining,,single-cell protein interaction prediction
full_2026-07-06__rec_001200,,config_e01a80179e5c,current_only_unmapped,0,,,,0,1,,evaluation,,benchmark analysis against baseline models
full_2026-07-06__rec_001200,,config_e87a089c0b5c,current_only_unmapped,0,,,,0,1,,fine_tuning,,fine-tuning Shusi for AML datasets
full_2026-07-06__rec_001200,config_035ce8ed0a79,,old_only_unmapped,0,,,,2,0,fine_tuning,,fine-tuning process,
full_2026-07-06__rec_001200,config_4ff6c3f2b5bd,config_4ff6c3f2b5bd,stable_id,2,0.769093,1,1,2,2,pretraining,pretraining,feature extraction module,feature extraction module
full_2026-07-06__rec_001218,config_1d924205fa17,config_1d924205fa17,stable_id,1,0.834383,1,1,1,1,fine_tuning,fine_tuning,cancer subtyping ( h. -> h. ),cancer subtyping ( h. → h. )
full_2026-07-06__rec_001218,config_53ea83ea3c04,config_53ea83ea3c04,stable_id,1,0.77765,1,1,1,1,fine_tuning,fine_tuning,report generation ( h. -> t. ),report generation ( h. → t. )
full_2026-07-06__rec_001218,config_58effcb8cce2,config_58effcb8cce2,stable_id,1,0.82305,1,1,1,1,fine_tuning,fine_tuning,gene mutation prediction ( h. -> g. ),gene mutation prediction ( h. → g. )
full_2026-07-06__rec_001218,config_7cb973758416,config_7cb973758416,stable_id,1,0.858849,1,1,2,2,fine_tuning,fine_tuning,survival prediction (multimodality),survival prediction (multimodality)
full_2026-07-06__rec_001218,config_95a5202ca8c7,config_2d9f3edb813e,route_supported_mapping,2,0.809569,1,1,3,3,pretraining,pretraining,"any subset of three modalities-whole slide images, genomic profiles, and diagnostic reports","pretraining with any subset of three modalities-whole slide images, genomic profiles, and diagnostic reports"
full_2026-07-06__rec_001277,,config_00c5c600c476,current_only_unmapped,0,,,,0,2,,unclear,,Reliability Screening (RS)
full_2026-07-06__rec_001277,,config_0755fcfb4525,current_only_unmapped,0,,,,0,1,,pretraining,,Intra-modal Cellular Generative Pre-training (IMGP)
full_2026-07-06__rec_001277,config_059c59757812,config_11fafbe2ecd8,route_supported_mapping,1,0.73843,1,1,1,1,pretraining,pretraining,Cell-Text Cross-modal Robust Alignment (CRA) objective,Cross-modal Cell-text Pre-training
full_2026-07-06__rec_001277,config_1c07a0bccad6,,old_only_unmapped,0,,,,1,0,inference,,Gene-prompt Generation and Cell-prompt Generation,
full_2026-07-06__rec_001277,config_91287d7b9499,config_cfd69d086451,route_supported_mapping,1,0.79131,1,1,2,1,pretraining,unclear,RAG enhanced Textual Descriptions Generation,RAG enhanced Textual Descriptions Generation
full_2026-07-06__rec_001277,config_f477198e3e72,,old_only_unmapped,0,,,,1,0,pretraining,,Intra-Modal Generative Pre-training (IMGP),
full_2026-07-06__rec_001319,,config_ea30fd3ce47b,current_only_unmapped,0,,,,0,1,,fine_tuning,,Conditional Pseudo-cell Generation (CPCG)
full_2026-07-06__rec_001319,,config_f76ed6c108bb,current_only_unmapped,0,,,,0,2,,fine_tuning,,Drug Sensitivity Prediction (DSP)
full_2026-07-06__rec_001319,config_54b994246c9b,,old_only_unmapped,0,,,,1,0,fine_tuning,,cell reconstruction module,
full_2026-07-06__rec_001319,config_c44441c1fee3,config_38a38b1932fb,route_supported_mapping,1,0.724195,1,1,2,2,fine_tuning,fine_tuning,InstructCell can take a mixture of text and single cells as input,Cell Type Annotation (CTA)
