record_id,old_route_id,current_route_id,score,accepted_by_rule,structural_core_equal,same_model_id,changed_controlled_fields,score_model_name,score_carrier_family,score_carrier_subtype,score_source_modality,score_lifecycle_phase,score_fusion_topology,score_text_role,score_source_object,score_model_visible_form,score_transformation_chain,score_task_or_configuration,score_route_label,score_evidence_quote,old_model_name,current_model_name,old_route_label,current_route_label,old_rank,current_rank,primary_assignment,split_candidate_degree,merge_candidate_degree
full_2026-07-06__rec_000063,route_57437427050f,route_a5e96dd9a19b,0.842348,True,True,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.533333,0.820513,0.546256,0.6,0.682353,0.305085,TISSUENARRATOR,TISSUENARRATOR,Unconditional cell generation from neighbors,Cell generation from spatial neighborhood,1,1,True,4,5
full_2026-07-06__rec_000063,route_57437427050f,route_dbc6b7ab297a,0.78841,True,True,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.424242,0.820513,0.457143,0.210526,0.4,0.138462,TISSUENARRATOR,TISSUENARRATOR,Unconditional cell generation from neighbors,Neighborhood perturbation generation,3,3,False,4,4
full_2026-07-06__rec_000063,route_57437427050f,route_de59b0fceddc,0.700263,True,False,True,lifecycle_phase,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.25,0.761905,0.454545,0.459016,0.388889,0.012346,TISSUENARRATOR,TISSUENARRATOR,Unconditional cell generation from neighbors,Spatial sentence fine-tuning,4,2,False,4,3
full_2026-07-06__rec_000063,route_8fa09b837884,route_5a170efb9d64,0.814302,True,True,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.525,0.820513,0.375,0.516854,0.478873,0.185185,TISSUENARRATOR,TISSUENARRATOR,Counterfactual neighborhood perturbation,Genetic perturbation generation,3,2,False,3,4
full_2026-07-06__rec_000063,route_8fa09b837884,route_a5e96dd9a19b,0.835904,True,True,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.666667,0.820513,0.518987,0.278261,0.54321,0.298246,TISSUENARRATOR,TISSUENARRATOR,Counterfactual neighborhood perturbation,Cell generation from spatial neighborhood,2,2,False,3,5
full_2026-07-06__rec_000063,route_8fa09b837884,route_dbc6b7ab297a,0.877612,True,True,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.688172,0.820513,0.511364,1.0,0.657895,0.301587,TISSUENARRATOR,TISSUENARRATOR,Counterfactual neighborhood perturbation,Neighborhood perturbation generation,1,1,True,3,4
full_2026-07-06__rec_000063,route_91b3698fe62e,route_24ffc126eb25,0.691922,False,False,True,carrier_subtype;source_modality,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.913043,0.430769,0.265487,0.409091,0.307692,TISSUENARRATOR,TISSUENARRATOR,Conversational tissue querying from anatomical structure names,Spatial Q&A: top cell types,1,1,False,0,0
full_2026-07-06__rec_000063,route_91b3698fe62e,route_6ccf596636de,0.682873,False,False,True,carrier_subtype;source_modality,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.913043,0.430769,0.290909,0.409639,0.049296,TISSUENARRATOR,TISSUENARRATOR,Conversational tissue querying from anatomical structure names,Spatial Q&A: top genes,2,1,False,0,0
full_2026-07-06__rec_000063,route_91b3698fe62e,route_a3f58fcbfec1,0.672083,False,False,True,carrier_subtype;source_modality,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.913043,0.430769,0.21875,0.170213,0.049296,TISSUENARRATOR,TISSUENARRATOR,Conversational tissue querying from anatomical structure names,Spatial Q&A: region summarization,3,1,False,0,0
full_2026-07-06__rec_000063,route_af4b51cff9c9,route_5a170efb9d64,0.589644,False,False,True,lifecycle_phase;fusion_topology,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.253968,0.192771,0.0,0.338983,0.518519,0.579235,TISSUENARRATOR,TISSUENARRATOR,Missing cell generation,Genetic perturbation generation,2,6,False,0,4
full_2026-07-06__rec_000063,route_af4b51cff9c9,route_a5e96dd9a19b,0.586205,False,False,True,lifecycle_phase;fusion_topology,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.328358,0.192771,0.0,0.305556,0.46875,0.349206,TISSUENARRATOR,TISSUENARRATOR,Missing cell generation,Cell generation from spatial neighborhood,3,6,False,0,5
full_2026-07-06__rec_000063,route_af4b51cff9c9,route_dbc6b7ab297a,0.603439,False,False,True,lifecycle_phase;fusion_topology,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.342105,0.192771,0.0,0.455285,0.474576,0.547264,TISSUENARRATOR,TISSUENARRATOR,Missing cell generation,Neighborhood perturbation generation,1,6,False,0,4
full_2026-07-06__rec_000063,route_fb903d45d1ca,route_5a170efb9d64,0.783028,True,True,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.372093,0.516129,0.5,0.463768,0.438356,0.272727,TISSUENARRATOR,TISSUENARRATOR,Conditional cell generation from neighbors,Genetic perturbation generation,2,4,False,4,4
full_2026-07-06__rec_000063,route_fb903d45d1ca,route_a5e96dd9a19b,0.824534,True,True,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.533333,0.516129,0.59596,0.6,0.698795,0.293103,TISSUENARRATOR,TISSUENARRATOR,Conditional cell generation from neighbors,Cell generation from spatial neighborhood,1,3,False,4,5
full_2026-07-06__rec_000063,route_fb903d45d1ca,route_dbc6b7ab297a,0.773463,True,True,True,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.424242,0.516129,0.555556,0.189189,0.435897,0.125,TISSUENARRATOR,TISSUENARRATOR,Conditional cell generation from neighbors,Neighborhood perturbation generation,3,4,False,4,4
full_2026-07-06__rec_000063,route_fb903d45d1ca,route_de59b0fceddc,0.683211,True,False,True,lifecycle_phase,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.25,0.492308,0.513089,0.40678,0.4,0.012346,TISSUENARRATOR,TISSUENARRATOR,Conditional cell generation from neighbors,Spatial sentence fine-tuning,4,3,False,4,3
full_2026-07-06__rec_000086,route_118ba39eeeec,route_18a49a03ed5f,0.471988,False,False,False,source_modality;lifecycle_phase;fusion_topology;text_role,0.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.285714,0.333333,0.067568,PROCYON-SPLIT,ProCyon,protein sequence to protein retrieval,GO Function,4,3,False,2,0
full_2026-07-06__rec_000086,route_118ba39eeeec,route_67d60756e8b4,0.472386,False,False,False,source_modality;lifecycle_phase;fusion_topology;text_role,0.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.3125,0.269231,0.092105,PROCYON-SPLIT,ProCyon,protein sequence to protein retrieval,Drugbank Target,3,2,False,2,0
full_2026-07-06__rec_000086,route_118ba39eeeec,route_7d3bbc8ca354,0.466834,False,False,False,source_modality;lifecycle_phase;fusion_topology;text_role,0.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.27027,0.175439,0.076433,PROCYON-SPLIT,ProCyon,protein sequence to protein retrieval,Drugbank Transporter,5,2,False,2,0
full_2026-07-06__rec_000086,route_118ba39eeeec,route_ba110b719918,0.456422,False,False,False,source_modality;lifecycle_phase;fusion_topology;text_role,0.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.095238,0.146341,0.056738,PROCYON-SPLIT,ProCyon,protein sequence to protein retrieval,GtoP,6,1,False,2,0
full_2026-07-06__rec_000086,route_118ba39eeeec,route_c4afa80469f5,0.709415,True,False,True,lifecycle_phase;fusion_topology,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.487805,0.248062,0.324324,0.432432,0.46789,PROCYON-SPLIT,PROCYON-SPLIT,protein sequence to protein retrieval,Phenotype generation protein sequence,2,3,False,2,3
full_2026-07-06__rec_000086,route_118ba39eeeec,route_de75413d9ba2,0.87337,True,False,True,lifecycle_phase,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.488889,0.809249,1.0,0.75,1.0,PROCYON-SPLIT,PROCYON-SPLIT,protein sequence to protein retrieval,Protein retrieval protein sequence,1,1,True,2,3
full_2026-07-06__rec_000086,route_2e5d29127a19,route_3e07d92b7f4a,0.608553,False,True,False,fusion_topology,0.7,1.0,1.0,1.0,1.0,0.0,1.0,0.318182,0.133333,0.0,0.291667,0.447059,0.301075,PROCYON-SPLIT,PROCYON,phenotype description text to question answering,Protein interaction prediction prompt,3,5,False,1,1
full_2026-07-06__rec_000086,route_2e5d29127a19,route_440ad7fad63b,0.600287,False,False,True,lifecycle_phase;fusion_topology,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.318182,0.133333,0.277778,0.4,0.358974,0.313953,PROCYON-SPLIT,PROCYON-SPLIT,phenotype description text to question answering,Protein retrieval query prompt,6,3,False,1,2
full_2026-07-06__rec_000086,route_2e5d29127a19,route_4b1ea824da6c,0.631176,False,False,True,lifecycle_phase,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.3,0.152174,0.24,0.016064,0.238806,0.243902,PROCYON-SPLIT,PROCYON-SPLIT,phenotype description text to question answering,Diagnostic Features,2,1,False,1,0
full_2026-07-06__rec_000086,route_2e5d29127a19,route_caa6f466af38,0.71057,True,False,True,lifecycle_phase,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.25,0.4,0.459459,0.263158,0.575,1.0,PROCYON-SPLIT,PROCYON-SPLIT,phenotype description text to question answering,Phenotype generation text prompt,1,2,False,1,2
full_2026-07-06__rec_000086,route_2f24a4c30a89,route_205dede67b6c,0.546843,False,False,True,source_modality;lifecycle_phase;text_role,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.25,1.0,0.156863,0.25,0.25,PROCYON,ProCyon,Drugbank Target,Zero-shot,3,5,False,0,2
full_2026-07-06__rec_000086,route_2f24a4c30a89,route_23a47183c915,0.55851,False,False,True,source_modality;lifecycle_phase;text_role,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.333333,1.0,0.156863,0.333333,0.333333,PROCYON,ProCyon,Drugbank Target,Many-shot,2,5,False,0,1
full_2026-07-06__rec_000086,route_2f24a4c30a89,route_6ea7a3e5f9c4,0.542961,False,False,True,carrier_subtype;source_modality;text_role,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.347826,0.16,1.0,0.113475,0.347826,0.347826,PROCYON,PROCYON,Drugbank Target,DisGeNET,4,3,False,0,0
full_2026-07-06__rec_000086,route_2f24a4c30a89,route_7b76d04a0605,0.511419,False,False,True,carrier_subtype;source_modality;text_role,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.181818,0.16,1.0,0.113475,0.181818,0.181818,PROCYON,PROCYON,Drugbank Target,UniProt,7,3,False,0,0
full_2026-07-06__rec_000086,route_2f24a4c30a89,route_d5fcb8c41818,0.639619,False,False,True,lifecycle_phase;text_role,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.181818,0.258065,1.0,0.258065,0.258065,0.227273,PROCYON,ProCyon,Drugbank Target,Precise function,1,1,False,0,0
full_2026-07-06__rec_000086,route_3b2872d01e6b,route_4c1c9b303c55,0.561878,False,False,False,source_modality;lifecycle_phase;text_role,0.7,1.0,1.0,0.0,0.0,1.0,0.0,0.833333,0.426966,0.482759,0.184615,0.294118,0.228571,PROCYON,PROCYON-SPLIT,bupropion structure to indication-specific drug target retrieval,Phenotype generation protein structure,1,5,False,0,3
full_2026-07-06__rec_000086,route_4d2339b221f1,route_1372c917a03e,0.623071,False,False,True,lifecycle_phase;text_role,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.171429,0.142857,1.0,0.25,0.142857,0.142857,PROCYON,ProCyon,Drugbank Transporter,Few-shot,2,3,False,0,1
full_2026-07-06__rec_000086,route_4d2339b221f1,route_151e451d06e7,0.589702,False,False,True,lifecycle_phase;fusion_topology;text_role,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.30303,0.277778,1.0,0.15873,0.352941,0.134228,PROCYON,ProCyon,Drugbank Transporter,Four functions,6,3,False,0,0
full_2026-07-06__rec_000086,route_4d2339b221f1,route_205dede67b6c,0.622382,False,False,True,lifecycle_phase;text_role,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.171429,0.137931,1.0,0.25,0.137931,0.137931,PROCYON,ProCyon,Drugbank Transporter,Zero-shot,3,3,False,0,2
full_2026-07-06__rec_000086,route_4d2339b221f1,route_23a47183c915,0.641692,False,False,True,lifecycle_phase;text_role,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.171429,0.275862,1.0,0.25,0.275862,0.275862,PROCYON,ProCyon,Drugbank Transporter,Many-shot,1,3,False,0,1
full_2026-07-06__rec_000086,route_4d2339b221f1,route_78cbb264c279,0.577127,False,True,True,fusion_topology;text_role,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.228571,0.23301,0.0,0.205128,0.228571,0.156863,PROCYON,PROCYON,Drugbank Transporter,protein domains,7,2,False,0,0
full_2026-07-06__rec_000086,route_4d2339b221f1,route_9a2e2f038920,0.550398,False,False,True,source_modality;text_role,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.238095,0.23301,0.0,0.222222,0.285714,0.145833,PROCYON,PROCYON,Drugbank Transporter,PROCYON-INSTRUCT instruction example,11,3,False,0,0
full_2026-07-06__rec_000086,route_4d2339b221f1,route_a141e53f4d01,0.509088,False,False,True,source_modality;lifecycle_phase;fusion_topology;text_role,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.258065,0.238806,1.0,0.421053,0.421053,0.192982,PROCYON,ProCyon,Drugbank Transporter,Question answering,16,2,False,0,0
full_2026-07-06__rec_000086,route_4d2339b221f1,route_e03e955f25bb,0.589905,False,True,True,fusion_topology;text_role,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.35,0.23301,0.0,0.205128,0.258065,0.089888,PROCYON,PROCYON,Drugbank Transporter,interaction,5,2,False,0,1
full_2026-07-06__rec_000086,route_4d2339b221f1,route_f42fa0ac09e5,0.596286,False,True,True,fusion_topology;text_role,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.355556,0.23301,0.0,0.205128,0.25,0.238806,PROCYON,PROCYON,Drugbank Transporter,therapeutics,4,2,False,0,0
full_2026-07-06__rec_000086,route_53b657124efa,route_18a49a03ed5f,0.47481,False,False,False,source_modality;lifecycle_phase;fusion_topology;text_role,0.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.16,0.0,0.344828,0.367347,0.108696,PROCYON-SPLIT,ProCyon,protein sequence to question answering,GO Function,3,1,False,2,0
full_2026-07-06__rec_000086,route_53b657124efa,route_67d60756e8b4,0.469447,False,False,False,source_modality;lifecycle_phase;fusion_topology;text_role,0.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.16,0.0,0.242424,0.226415,0.208333,PROCYON-SPLIT,ProCyon,protein sequence to question answering,Drugbank Target,5,3,False,2,0
full_2026-07-06__rec_000086,route_53b657124efa,route_7d3bbc8ca354,0.474684,False,False,False,source_modality;lifecycle_phase;fusion_topology;text_role,0.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.16,0.0,0.368421,0.310345,0.118812,PROCYON-SPLIT,ProCyon,protein sequence to question answering,Drugbank Transporter,4,1,False,2,0
full_2026-07-06__rec_000086,route_53b657124efa,route_ba110b719918,0.45603,False,False,False,source_modality;lifecycle_phase;fusion_topology;text_role,0.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.16,0.0,0.181818,0.095238,0.047059,PROCYON-SPLIT,ProCyon,protein sequence to question answering,GtoP,6,2,False,2,0
full_2026-07-06__rec_000086,route_53b657124efa,route_c4afa80469f5,0.78957,True,False,True,lifecycle_phase,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.441558,0.324324,0.263158,0.426667,1.0,PROCYON-SPLIT,PROCYON-SPLIT,protein sequence to question answering,Phenotype generation protein sequence,1,2,False,2,3
full_2026-07-06__rec_000086,route_53b657124efa,route_de75413d9ba2,0.711866,True,False,True,lifecycle_phase;fusion_topology,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.352941,0.322034,0.4,0.444444,0.53211,PROCYON-SPLIT,PROCYON-SPLIT,protein sequence to question answering,Protein retrieval protein sequence,2,2,False,2,3
full_2026-07-06__rec_000086,route_97aac4c25707,route_1372c917a03e,0.644425,False,False,True,lifecycle_phase;text_role,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4,0.111111,1.0,0.217391,0.111111,0.111111,PROCYON,ProCyon,GO Process,Few-shot,2,2,False,1,1
full_2026-07-06__rec_000086,route_97aac4c25707,route_151e451d06e7,0.608936,False,False,True,lifecycle_phase;fusion_topology;text_role,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.347826,0.384615,1.0,0.301887,0.333333,0.129496,PROCYON,ProCyon,GO Process,Four functions,4,1,False,1,0
full_2026-07-06__rec_000086,route_97aac4c25707,route_17d54e15b5c5,0.527507,False,False,True,carrier_subtype;source_modality;text_role,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.222222,0.266667,1.0,0.132353,0.222222,0.222222,PROCYON,PROCYON,GO Process,Enzyme Commission,14,3,False,1,0
full_2026-07-06__rec_000086,route_97aac4c25707,route_205dede67b6c,0.67308,True,False,True,lifecycle_phase;text_role,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4,0.315789,1.0,0.217391,0.315789,0.315789,PROCYON,ProCyon,GO Process,Zero-shot,1,1,True,1,2
full_2026-07-06__rec_000086,route_97aac4c25707,route_23a47183c915,0.643606,False,False,True,lifecycle_phase;text_role,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.4,0.105263,1.0,0.217391,0.105263,0.105263,PROCYON,ProCyon,GO Process,Many-shot,3,2,False,1,1
full_2026-07-06__rec_000086,route_97aac4c25707,route_78cbb264c279,0.597047,False,True,True,fusion_topology;text_role,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4,0.193548,0.0,0.130841,0.4,0.173913,PROCYON,PROCYON,GO Process,protein domains,5,1,False,1,0
full_2026-07-06__rec_000086,route_97aac4c25707,route_7b76d04a0605,0.552343,False,False,True,carrier_subtype;source_modality;text_role,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.352941,0.266667,1.0,0.132353,0.352941,0.352941,PROCYON,PROCYON,GO Process,UniProt,10,2,False,1,0
full_2026-07-06__rec_000086,route_97aac4c25707,route_935a12c569e2,0.512427,False,False,True,carrier_subtype;source_modality;text_role,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.142857,0.266667,1.0,0.132353,0.142857,0.142857,PROCYON,PROCYON,GO Process,OMIM,16,3,False,1,0
full_2026-07-06__rec_000086,route_97aac4c25707,route_e03e955f25bb,0.580036,False,True,True,fusion_topology;text_role,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.333333,0.193548,0.0,0.130841,0.095238,0.177215,PROCYON,PROCYON,GO Process,interaction,7,3,False,1,1
full_2026-07-06__rec_000086,route_97aac4c25707,route_f42fa0ac09e5,0.590643,False,True,True,fusion_topology;text_role,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.342857,0.193548,0.0,0.130841,0.272727,0.280702,PROCYON,PROCYON,GO Process,therapeutics,6,3,False,1,0
full_2026-07-06__rec_000086,route_9f0216309247,route_4c1c9b303c55,0.573358,False,False,False,source_modality;lifecycle_phase,0.7,1.0,1.0,0.0,0.0,1.0,1.0,0.628571,0.309524,0.424242,0.166667,0.269663,0.228571,PROCYON,PROCYON-SPLIT,miglitol structure to drug-binding domain retrieval,Phenotype generation protein structure,1,4,False,0,3
full_2026-07-06__rec_000086,route_aa2dfc1201dd,route_4c1c9b303c55,0.788837,True,False,True,lifecycle_phase,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.455696,0.293333,0.263158,0.441558,1.0,PROCYON-SPLIT,PROCYON-SPLIT,protein structure to question answering,Phenotype generation protein structure,1,2,False,1,3
full_2026-07-06__rec_000086,route_af667f84cbef,route_18a49a03ed5f,0.473265,False,False,False,source_modality;lifecycle_phase;fusion_topology;text_role,0.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.16,0.0,0.322581,0.352941,0.108696,PROCYON-SPLIT,ProCyon,protein sequence to phenotype generation,GO Function,3,2,False,2,0
full_2026-07-06__rec_000086,route_af667f84cbef,route_67d60756e8b4,0.472455,False,False,False,source_modality;lifecycle_phase;fusion_topology;text_role,0.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.16,0.0,0.285714,0.254545,0.208333,PROCYON-SPLIT,ProCyon,protein sequence to phenotype generation,Drugbank Target,4,1,False,2,0
full_2026-07-06__rec_000086,route_af667f84cbef,route_7d3bbc8ca354,0.464452,False,False,False,source_modality;lifecycle_phase;fusion_topology;text_role,0.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.16,0.0,0.25,0.166667,0.118812,PROCYON-SPLIT,ProCyon,protein sequence to phenotype generation,Drugbank Transporter,5,3,False,2,0
full_2026-07-06__rec_000086,route_af667f84cbef,route_ba110b719918,0.45234,False,False,False,source_modality;lifecycle_phase;fusion_topology;text_role,0.7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.16,0.0,0.083333,0.136364,0.047059,PROCYON-SPLIT,ProCyon,protein sequence to phenotype generation,GtoP,6,3,False,2,0
full_2026-07-06__rec_000086,route_af667f84cbef,route_c4afa80469f5,0.840755,True,False,True,lifecycle_phase,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.441558,0.369231,1.0,0.8,1.0,PROCYON-SPLIT,PROCYON-SPLIT,protein sequence to phenotype generation,Phenotype generation protein sequence,1,1,True,2,3
full_2026-07-06__rec_000086,route_af667f84cbef,route_de75413d9ba2,0.709851,True,False,True,lifecycle_phase;fusion_topology,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.352941,0.275229,0.432432,0.432432,0.53211,PROCYON-SPLIT,PROCYON-SPLIT,protein sequence to phenotype generation,Protein retrieval protein sequence,2,3,False,2,3
