candidate_id,source_run,record_id,title,doi,manifest_status,pdf_found,pdf_path,pdf_bytes
full_2026-07-06__rec_000323,full_2026-07-06,rec_000323,L2G: Repurposing Language Models for Genomics Tasks.,10.1101/2024.12.09.627422,pdf_downloaded,True,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_000323__L2G_Repurposing_Language_Models_for_Genomics_Tasks./full_text_05_openalex_content_pdf.pdf,2222547
full_2026-07-06__rec_000329,full_2026-07-06,rec_000329,RNA language models predict mutations that improve RNA function.,10.1038/s41467-024-54812-y,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000329__RNA_language_models_predict_mutations_that_improve_RNA_function./full_text_01_openalex_pdf_url.pdf,3276636
full_2026-07-06__rec_000347,full_2026-07-06,rec_000347,Protein Set Transformer: A protein-based genome language model to power high diversity viromics.,10.21203/rs.3.rs-4844047/v1,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000347__Protein_Set_Transformer_A_protein-based_genome_language_model_to_power/full_text_05_openalex_pdf_url.pdf,4220244
full_2026-07-06__rec_000401,full_2026-07-06,rec_000401,A 5' UTR Language Model for Decoding Untranslated Regions of mRNA and Function Predictions.,10.1038/s42256-024-00823-9,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000401__A_5_UTR_Language_Model_for_Decoding_Untranslated_Regions_of_mRNA_and_F/full_text_09_europepmc_Europe_PMC.pdf,2592779
full_2026-07-06__rec_000486,full_2026-07-06,rec_000486,HyenaDNA: Long-Range Genomic Sequence Modeling at Single Nucleotide Resolution,10.48550/arXiv.2306.15794,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000486__HyenaDNA_Long-Range_Genomic_Sequence_Modeling_at_Single_Nucleotide_Res/full_text_01_arxiv_pdf.pdf,2415308
full_2026-07-06__rec_000534,full_2026-07-06,rec_000534,Deciphering microbial gene function using natural language processing.,10.1038/s41467-022-33397-4,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000534__Deciphering_microbial_gene_function_using_natural_language_processing./full_text_01_openalex_pdf_url.pdf,3161977
full_2026-07-06__rec_000607,full_2026-07-06,rec_000607,Modeling aspects of the language of life through transfer-learning protein sequences.,10.1186/s12859-019-3220-8,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000607__Modeling_aspects_of_the_language_of_life_through_transfer-learning_pro/full_text_01_openalex_pdf_url.pdf,1729177
full_2026-07-06__rec_000619,full_2026-07-06,rec_000619,Large-scale multi-omic biosequence transformers for modeling protein–nucleic acid interactions,10.1371/journal.pone.0341501,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000619__Large-scale_multi-omic_biosequence_transformers_for_modeling_protein_n/full_text_08_europepmc_Europe_PMC.pdf,3762342
full_2026-07-06__rec_000626,full_2026-07-06,rec_000626,Probing genomic language models: Nucleotide Generative Pretrained Transformer and the role of pretraining in learned representations,10.1093/bib/bbag011,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000626__Probing_genomic_language_models_Nucleotide_Generative_Pretrained_Trans/full_text_08_europepmc_Europe_PMC.pdf,1758080
full_2026-07-06__rec_000709,full_2026-07-06,rec_000709,Protein-nucleic acid language model-assisted design of precise and compact adenine base editor,10.1038/s41467-025-65311-z,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000709__Protein-nucleic_acid_language_model-assisted_design_of_precise_and_com/full_text_01_openalex_pdf_url.pdf,3322490
full_2026-07-06__rec_000771,full_2026-07-06,rec_000771,"A multimodal conversational agent for DNA, RNA and protein tasks",10.1038/s42256-025-01047-1,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000771__A_multimodal_conversational_agent_for_DNA_RNA_and_protein_tasks/full_text_01_openalex_pdf_url.pdf,1929922
full_2026-07-06__rec_000822,full_2026-07-06,rec_000822,HydraRNA: a hybrid architecture based full-length RNA language model,10.1186/s13059-025-03853-7,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000822__HydraRNA_a_hybrid_architecture_based_full-length_RNA_language_model/full_text_01_openalex_pdf_url.pdf,2292793
full_2026-07-06__rec_000843,full_2026-07-06,rec_000843,mRNA-LM: full-length integrated SLM for mRNA analysis,10.1093/nar/gkaf044,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000843__mRNA-LM_full-length_integrated_SLM_for_mRNA_analysis/full_text_09_europepmc_Europe_PMC.pdf,1660041
full_2026-07-06__rec_000867,full_2026-07-06,rec_000867,A long-context language model for deciphering and generating bacteriophage genomes,10.1038/s41467-024-53759-4,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000867__A_long-context_language_model_for_deciphering_and_generating_bacteriop/full_text_01_openalex_pdf_url.pdf,931097
full_2026-07-06__rec_000908,full_2026-07-06,rec_000908,DNA language model GROVER learns sequence context in the human genome,10.1038/s42256-024-00872-0,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000908__DNA_language_model_GROVER_learns_sequence_context_in_the_human_genome/full_text_01_openalex_pdf_url.pdf,3484612
full_2026-07-06__rec_000915,full_2026-07-06,rec_000915,'Bingo' - a large language model- and graph neural network-based workflow for the prediction of essential genes from protein data,10.1093/bib/bbad472,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000915__Bingo_-_a_large_language_model-_and_graph_neural_network-based_workflo/full_text_10_europepmc_Europe_PMC.pdf,1920816
full_2026-07-06__rec_000939,full_2026-07-06,rec_000939,GexMolGen: cross-modal generation of hit-like molecules via large language model encoding of gene expression signatures,10.1093/bib/bbae525,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000939__GexMolGen_cross-modal_generation_of_hit-like_molecules_via_large_langu/full_text_10_europepmc_Europe_PMC.pdf,1977638
full_2026-07-06__rec_000950,full_2026-07-06,rec_000950,Illuminating protein space with a programmable generative model,10.1038/s41586-023-06728-8,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_000950__Illuminating_protein_space_with_a_programmable_generative_model/full_text_01_openalex_pdf_url.pdf,8449404
full_2026-07-06__rec_001074,full_2026-07-06,rec_001074,BioReason: Incentivizing Multimodal Biological Reasoning within a DNA-LLM Model,10.48550/arXiv.2505.23579,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_001074__BioReason_Incentivizing_Multimodal_Biological_Reasoning_within_a_DNA-L/full_text_01_arxiv_pdf.pdf,5108887
full_2026-07-06__rec_001126,full_2026-07-06,rec_001126,Language may be all omics needs: Harmonizing multimodal data for omics understanding with CellHermes,10.1101/2025.11.07.687322,pdf_downloaded,True,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_001126__Language_may_be_all_omics_needs_Harmonizing_multimodal_data_for_omics_/full_text_05_openalex_content_pdf.pdf,3283878
full_2026-07-06__rec_001133,full_2026-07-06,rec_001133,Nona: A unifying multimodal masking framework for functional genomics,10.1101/2025.11.06.687036,no_full_text_found,True,data/full_text_downloads_2026-07-07/browser_manual_pass/full_2026-07-06__rec_001133__Nona_A_unifying_multimodal_masking_framework_for_functional_genomics/full_text_browser_biorxiv_2025.11.06.687036v2.pdf,3118042
full_2026-07-06__rec_001143,full_2026-07-06,rec_001143,A Cross-Species Generative Cell Atlas Across 1.5 Billion Years of Evolution: The TranscriptFormer Single-cell Model,10.1101/2025.04.25.650731,pdf_downloaded,True,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_001143__A_Cross-Species_Generative_Cell_Atlas_Across_1.5_Billion_Years_of_Evol/full_text_05_openalex_content_pdf.pdf,5706090
full_2026-07-06__rec_001161,full_2026-07-06,rec_001161,Towards Applying Large Language Models to Complement Single-Cell Foundation Models,10.48550/arXiv.2507.10039,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_001161__Towards_Applying_Large_Language_Models_to_Complement_Single-Cell_Found/full_text_01_arxiv_pdf.pdf,764882
full_2026-07-06__rec_001218,full_2026-07-06,rec_001218,Any-to-Any Learning in Computational Pathology via Triplet Multimodal Pretraining,10.48550/arXiv.2505.12711,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_000_049/full_2026-07-06__rec_001218__Any-to-Any_Learning_in_Computational_Pathology_via_Triplet_Multimodal_/full_text_01_arxiv_pdf.pdf,6236244
full_2026-07-06__rec_001263,full_2026-07-06,rec_001263,A Suite of Foundation Models Captures the Contextual Interplay Between Codons,10.1101/2024.10.10.617568,non_pdf_full_text_downloaded,True,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_001263__A_Suite_of_Foundation_Models_Captures_the_Contextual_Interplay_Between/full_text_05_openalex_content_pdf.pdf,27425247
full_2026-07-06__rec_001289,full_2026-07-06,rec_001289,scGPT: Towards Building a Foundation Model for Single-Cell Multi-omics Using Generative AI,10.1101/2023.04.30.538439,pdf_downloaded,True,data/full_text_downloads_2026-07-07/retry_batch_000_029/full_2026-07-06__rec_001289__scGPT_Towards_Building_a_Foundation_Model_for_Single-Cell_Multi-omics_/full_text_07_landing_pdf_link.pdf,21317950
full_2026-07-06__rec_001291,full_2026-07-06,rec_001291,Unsupervised Whole-Genome Representation Learning Captures Bacterial Phenotypes,10.1101/2025.04.01.646674,pdf_downloaded,True,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_001291__Unsupervised_Whole-Genome_Representation_Learning_Captures_Bacterial_P/full_text_05_openalex_content_pdf.pdf,687755
full_2026-07-06__rec_001302,full_2026-07-06,rec_001302,How to improve polygenic prediction from whole-genome sequencing data by leveraging predicted epigenomic features?,10.1101/2024.10.04.24314860,pdf_downloaded,True,data/full_text_downloads_2026-07-07/retry_batch_000_029/full_2026-07-06__rec_001302__How_to_improve_polygenic_prediction_from_whole-genome_sequencing_data_/full_text_05_openalex_pdf_url.pdf,2241480
full_2026-07-06__rec_001314,full_2026-07-06,rec_001314,A contextualised protein language model reveals the functional syntax of bacterial evolution,10.1101/2025.07.20.665723,pdf_downloaded,True,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_001314__A_contextualised_protein_language_model_reveals_the_functional_syntax_/full_text_05_openalex_content_pdf.pdf,10503453
full_2026-07-06__rec_001319,full_2026-07-06,rec_001319,A Multi-Modal AI Copilot for Single-Cell Analysis with Instruction Following,10.48550/arXiv.2501.08187,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001319__A_Multi-Modal_AI_Copilot_for_Single-Cell_Analysis_with_Instruction_Fol/full_text_01_arxiv_pdf.pdf,37269967
full_2026-07-06__rec_001351,full_2026-07-06,rec_001351,JanusDNA: A Powerful Bi-directional Hybrid DNA Foundation Model,10.48550/arXiv.2505.17257,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001351__JanusDNA_A_Powerful_Bi-directional_Hybrid_DNA_Foundation_Model/full_text_01_arxiv_pdf.pdf,1791780
full_2026-07-06__rec_001352,full_2026-07-06,rec_001352,Towards Generalist Biomedical AI,10.48550/arXiv.2307.14334,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001352__Towards_Generalist_Biomedical_AI/full_text_01_arxiv_pdf.pdf,4059331
full_2026-07-06__rec_001358,full_2026-07-06,rec_001358,Harnessing the Power of Single-Cell Large Language Models with Parameter Efficient Fine-Tuning using scPEFT,10.1038/s42256-025-01170-z,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001358__Harnessing_the_Power_of_Single-Cell_Large_Language_Models_with_Paramet/full_text_02_landing_pdf_link.pdf,18397997
full_2026-07-06__rec_001381,full_2026-07-06,rec_001381,Language-Enhanced Representation Learning for Single-Cell Transcriptomics,,pdf_downloaded,True,data/full_text_downloads_2026-07-07/retry2_batch_000_024/full_2026-07-06__rec_001381__Language-Enhanced_Representation_Learning_for_Single-Cell_Transcriptom/full_text_01_semantic_scholar_title_arxiv_p.pdf,8244856
full_2026-07-06__rec_001391,full_2026-07-06,rec_001391,MAMMAL - Molecular Aligned Multi-Modal Architecture and Language,10.48550/arXiv.2410.22367,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001391__MAMMAL_-_Molecular_Aligned_Multi-Modal_Architecture_and_Language/full_text_01_arxiv_pdf.pdf,15133679
full_2026-07-06__rec_001431,full_2026-07-06,rec_001431,BIOFORMERS: A SCALABLE FRAMEWORK FOR EXPLORING BIOSTATES USING TRANSFORMERS,10.1101/2023.11.29.569320,pdf_downloaded,True,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_001431__BIOFORMERS_A_SCALABLE_FRAMEWORK_FOR_EXPLORING_BIOSTATES_USING_TRANSFOR/full_text_05_openalex_content_pdf.pdf,5805271
full_2026-07-06__rec_001436,full_2026-07-06,rec_001436,Predicting evolutionary rate as a pretraining task improves genome language model representations,10.64898/2026.02.02.703275,pdf_downloaded,True,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_001436__Predicting_evolutionary_rate_as_a_pretraining_task_improves_genome_lan/full_text_05_openalex_content_pdf.pdf,3117710
full_2026-07-06__rec_001447,full_2026-07-06,rec_001447,GeneChat: A Multi-Modal Large Language Model for Gene Function Prediction,10.1101/2025.06.05.658031,pdf_downloaded,True,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_001447__GeneChat_A_Multi-Modal_Large_Language_Model_for_Gene_Function_Predicti/full_text_05_openalex_content_pdf.pdf,1350444
full_2026-07-06__rec_001487,full_2026-07-06,rec_001487,Universal Single-Cell Transcriptomic Aging Clock powered by LLMs reveals targets to slow cellular aging,10.1093/geroni/igaf122.4305,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001487__Universal_Single-Cell_Transcriptomic_Aging_Clock_powered_by_LLMs_revea/full_text_09_europepmc_Europe_PMC.pdf,1129071
full_2026-07-06__rec_001497,full_2026-07-06,rec_001497,SARITA: a large language model for generating the S1 subunit of the SARS-CoV-2 spike protein,10.1101/2024.12.10.627777,pdf_downloaded,True,data/full_text_downloads_2026-07-07/retry_batch_000_029/full_2026-07-06__rec_001497__SARITA_a_large_language_model_for_generating_the_S1_subunit_of_the_SAR/full_text_14_europepmc_title_Europe_PMC.pdf,1978568
full_2026-07-06__rec_001519,full_2026-07-06,rec_001519,BioGPT: A Generative Transformer-Based Framework for Personalized Genomic Medicine and Rare Disease Diagnosis,10.58496/mjaih/2025/015,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001519__BioGPT_A_Generative_Transformer-Based_Framework_for_Personalized_Genom/full_text_01_openalex_pdf_url.pdf,873264
full_2026-07-06__rec_001534,full_2026-07-06,rec_001534,GENERator: A Long-Context Generative Genomic Foundation Model,10.48550/arXiv.2502.07272,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001534__GENERator_A_Long-Context_Generative_Genomic_Foundation_Model/full_text_01_arxiv_pdf.pdf,9894815
full_2026-07-06__rec_001546,full_2026-07-06,rec_001546,Abstract B041: Predicting T-cell receptor specificity and phenotype using transfer learning models,10.1158/1538-7445.genfunc25-b041,no_full_text_found,False,,
full_2026-07-06__rec_001617,full_2026-07-06,rec_001617,Cell-o1: Training LLMs to Solve Single-Cell Reasoning Puzzles with Reinforcement Learning,10.48550/arXiv.2506.02911,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001617__Cell-o1_Training_LLMs_to_Solve_Single-Cell_Reasoning_Puzzles_with_Rein/full_text_01_arxiv_pdf.pdf,16549979
full_2026-07-06__rec_001618,full_2026-07-06,rec_001618,A foundational model for joint sequence-function multi-species modeling at scale for long-range genomic prediction,10.64898/2025.12.22.695963,no_full_text_found,True,data/full_text_downloads_2026-07-07/browser_manual_pass/full_2026-07-06__rec_001618__a_foundational_model_for_joint_sequence_function_multi_species_m/full_text_browser_biorxiv_2025.12.22.695963v1.full.pdf,15535038
full_2026-07-06__rec_001623,full_2026-07-06,rec_001623,A Genomic Language Model for Zero-Shot Prediction of Promoter Variant Effects,10.1101/2024.11.11.623015,pdf_downloaded,True,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_001623__A_Genomic_Language_Model_for_Zero-Shot_Prediction_of_Promoter_Variant_/full_text_05_openalex_content_pdf.pdf,4476480
full_2026-07-06__rec_001625,full_2026-07-06,rec_001625,Celler:A Genomic Language Model for Long-Tailed Single-Cell Annotation,10.48550/arXiv.2504.00020,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001625__Celler_A_Genomic_Language_Model_for_Long-Tailed_Single-Cell_Annotation/full_text_01_arxiv_pdf.pdf,3577346
full_2026-07-06__rec_001633,full_2026-07-06,rec_001633,GenSLMs: Genome-scale language models reveal SARS-CoV-2 evolutionary dynamics,10.1101/2022.10.10.511571,non_pdf_full_text_downloaded,True,data/full_text_include_missing_retry_2026-07-09/pass1_existing_downloader/full_2026-07-06__rec_001633__GenSLMs_Genome-scale_language_models_reveal_SARS-CoV-2_evolutionary_dy/full_text_11_openalex_title_content_pdf.pdf,5956595
full_2026-07-06__rec_001641,full_2026-07-06,rec_001641,CanBART: A generative foundation model of cancer molecular alterations for synthetic patient generation and genomic profile completion,10.1101/2025.11.04.25339512,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001641__CanBART_A_generative_foundation_model_of_cancer_molecular_alterations_/full_text_03_medrxiv_pdf.pdf,4876100
full_2026-07-06__rec_001655,full_2026-07-06,rec_001655,Exploring the Potentials and Challenges of Using Large Language Models for the Analysis of Transcriptional Regulation of Long Non-coding RNAs,10.48550/arXiv.2411.03522,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001655__Exploring_the_Potentials_and_Challenges_of_Using_Large_Language_Models/full_text_01_arxiv_pdf.pdf,581612
full_2026-07-06__rec_001676,full_2026-07-06,rec_001676,Caduceus: Bi-Directional Equivariant Long-Range DNA Sequence Modeling,,pdf_downloaded,True,data/full_text_downloads_2026-07-07/retry2_batch_000_024/full_2026-07-06__rec_001676__Caduceus_Bi-Directional_Equivariant_Long-Range_DNA_Sequence_Modeling/full_text_05_europepmc_title_Europe_PMC.pdf,1390611
full_2026-07-06__rec_001683,full_2026-07-06,rec_001683,AntigenLM: Structure-Aware DNA Language Modeling for Influenza,,pdf_downloaded,True,data/full_text_downloads_2026-07-07/retry_batch_030_059/full_2026-07-06__rec_001683__AntigenLM_Structure-Aware_DNA_Language_Modeling_for_Influenza/full_text_03_openalex_title_pdf_url.pdf,2766686
full_2026-07-06__rec_001687,full_2026-07-06,rec_001687,CaLMFlow: Volterra Flow Matching using Causal Language Models,10.48550/arXiv.2410.05292,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001687__CaLMFlow_Volterra_Flow_Matching_using_Causal_Language_Models/full_text_01_arxiv_pdf.pdf,14153136
full_2026-07-06__rec_001700,full_2026-07-06,rec_001700,Semantic mining of functional de novo genes from a genomic language model,10.1101/2024.12.17.628962,pdf_downloaded,True,data/full_text_downloads_2026-07-07/retry_batch_030_059/full_2026-07-06__rec_001700__Semantic_mining_of_functional_de_novo_genes_from_a_genomic_language_mo/full_text_07_crossref_title_link.pdf,18287651
full_2026-07-06__rec_001714,full_2026-07-06,rec_001714,Open-weight genome language model safeguards: Assessing robustness via adversarial fine-tuning,10.48550/arXiv.2511.19299,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001714__Open-weight_genome_language_model_safeguards_Assessing_robustness_via_/full_text_01_arxiv_pdf.pdf,491100
full_2026-07-06__rec_001725,full_2026-07-06,rec_001725,Gene-Family Encoding Boosts Domain-Adapted Single-Cell Language Models,10.1101/2025.09.16.676672,pdf_downloaded,True,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_001725__Gene-Family_Encoding_Boosts_Domain-Adapted_Single-Cell_Language_Models/full_text_05_openalex_content_pdf.pdf,3599159
full_2026-07-06__rec_001730,full_2026-07-06,rec_001730,Enhanced Viral Genome Classification Using Large Language Models,10.3390/a18060302,pdf_downloaded,True,data/full_text_downloads_2026-07-07/openalex_content_pass_26/full_2026-07-06__rec_001730__Enhanced_Viral_Genome_Classification_Using_Large_Language_Models/full_text_01_openalex_content_pdf.pdf,2958584
full_2026-07-06__rec_001735,full_2026-07-06,rec_001735,"Learning from Gene Names, Expression Values and Images: Contrastive Masked Text-Image Pretraining for Spatial Transcriptomics Representation Learning",10.48550/arXiv.2509.16892,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001735__Learning_from_Gene_Names_Expression_Values_and_Images_Contrastive_Mask/full_text_01_arxiv_pdf.pdf,4010950
full_2026-07-06__rec_001761,full_2026-07-06,rec_001761,Generative design and construction of functional plasmids with a DNA language model,10.64898/2025.12.06.692736,no_full_text_found,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001761__Generative_design_and_construction_of_functional_plasmids_with_a_DNA_l/full_text_user_manual_biorxiv_2025.12.06.692736v1.full.pdf,1259334
full_2026-07-06__rec_001773,full_2026-07-06,rec_001773,Omni-DNA: A Unified Genomic Foundation Model for Cross-Modal and Multi-Task Learning,10.48550/arXiv.2502.03499,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001773__Omni-DNA_A_Unified_Genomic_Foundation_Model_for_Cross-Modal_and_Multi-/full_text_01_arxiv_pdf.pdf,2488411
full_2026-07-06__rec_001838,full_2026-07-06,rec_001838,Cell2Text: Multimodal LLM for Generating Single-Cell Descriptions from RNA-Seq Data,10.48550/arXiv.2509.24840,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_050_099/full_2026-07-06__rec_001838__Cell2Text_Multimodal_LLM_for_Generating_Single-Cell_Descriptions_from_/full_text_01_arxiv_pdf.pdf,1385436
full_2026-07-06__rec_001889,full_2026-07-06,rec_001889,scMOBA: A conversational single-cell Multi-Omics Brain Agent across species,10.64898/2025.12.01.691565,no_full_text_found,True,data/full_text_downloads_2026-07-07/browser_manual_pass/full_2026-07-06__rec_001889__scmoba_a_conversational_single_cell_multi_omics_brain_agent_acro/full_text_browser_biorxiv_2025.12.01.691565v1.full.pdf,8062601
full_2026-07-06__rec_002049,full_2026-07-06,rec_002049,BioVERSE: Representation Alignment of Biomedical Modalities to LLMs for Multi-Modal Reasoning,10.48550/arXiv.2510.01428,pdf_downloaded,True,data/full_text_downloads_2026-07-07/batch_100_149/full_2026-07-06__rec_002049__BioVERSE_Representation_Alignment_of_Biomedical_Modalities_to_LLMs_for/full_text_01_arxiv_pdf.pdf,1062424
