"id","label","type","__class__","route_label","model_name","lifecycle_phase","task_or_configuration_verbatim","source_object_verbatim","source_object_normalized","source_modality_normalized","transformation_chain_verbatim","transformation_chain_normalized","model_visible_form_verbatim","carrier_family","carrier_subtype","insertion_or_fusion_verbatim","fusion_topology","text_role","input_status","evidence_quote","section_heading","supporting_figure_or_table","evidence_status","uncertainty","__provenance__","taxonomy_version","title","doi","input_routes"
"TaxonomyCodedRoute_ca0b9516f4b1e1fb","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Purity score (PS)","scMIR","evaluation","For unsupervised evaluation, KMeans clustering is applied to image representations extracted from all datasets.","the set of samples in cluster 𝑘","cluster sample set","single-cell light microscopy image representations","[]","[]","image representations extracted from all datasets","dense_continuous_carrier","pooled_or_aggregated_embedding","KMeans clustering is applied to image representations extracted from all datasets.","unclear","no_text_on_this_route","actual_model_input","where 𝐶 F denotes the set of samples in cluster 𝑘","Cell clustering","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [7, 34, 40], ""pages"": [6, 21, 22], ""refs"": [""#/pictures/1"", ""#/texts/102"", ""#/texts/122"", ""#/texts/123""], ""spans"": [{""chunk"": 7, ""start"": 597, ""end"": 614}, {""chunk"": 34, ""start"": 589, ""end"": 606}, {""chunk"": 40, ""start"": 96, ""end"": 113}]}","","","",""
"TaxonomyCodedRoute_07bf6f7404093ab0","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Adjusted Rand Index (ARI)","scMIR","evaluation","For unsupervised evaluation, KMeans clustering is applied to image representations extracted from all datasets.","the number of samples that are assigned to clusters 𝑖 and 𝑗","pairwise cluster assignment counts","single-cell light microscopy image representations","[]","[]","image representations extracted from all datasets","dense_continuous_carrier","pooled_or_aggregated_embedding","KMeans clustering is applied to image representations extracted from all datasets.","unclear","no_text_on_this_route","actual_model_input","where 𝑛 $Z denotes the number of samples that are assigned to clusters 𝑖 and 𝑗","Cell clustering","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [7, 41], ""pages"": [6, 22, 23], ""refs"": [""#/pictures/1"", ""#/texts/125"", ""#/texts/126"", ""#/texts/127"", ""#/texts/128""], ""spans"": [{""chunk"": 7, ""start"": 620, ""end"": 645}, {""chunk"": 41, ""start"": 96, ""end"": 121}]}","","","",""
"TaxonomyCodedRoute_131579a41b2fd27a","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Mean Average Precision (mAP)","scMIR","evaluation","Model performance is evaluated using mean Average Precision (mAP)","treatmentlevel representations","treatment-level representations","single-cell light microscopy images","['full-field microscopy images are first segmented into single-cell images', 'single-cell representations are extracted', 'Image-level features are obtained by average aggregation of single-cell features', 'welllevel representations are computed by averaging image-level features', 'treatmentlevel representations are derived by further aggregating wells subjected to identical perturbation conditions']","['full-field microscopy images are first segmented into single-cell images', 'single-cell representations are extracted', 'image-level features are obtained by average aggregation of single-cell features', 'well-level representations are computed by averaging image-level features', 'treatment-level representations are derived by further aggregating wells subjected to identical perturbation conditions']","treatmentlevel representations","dense_continuous_carrier","pooled_or_aggregated_embedding","average aggregation of single-cell features","other_explicit","no_text_on_this_route","generated_output","Model performance is evaluated using mean Average Precision (mAP)","Morphology-informed phenotypic inference","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [10, 35, 41, 89], ""pages"": [9, 21, 22, 23, 48, 49, 50], ""refs"": [""#/texts/28"", ""#/pictures/2"", ""#/texts/104"", ""#/texts/105"", ""#/texts/125"", ""#/texts/126"", ""#/texts/127"", ""#/texts/128""], ""spans"": [{""chunk"": 10, ""start"": 927, ""end"": 955}, {""chunk"": 35, ""start"": 1202, ""end"": 1230}, {""chunk"": 41, ""start"": 461, ""end"": 489}, {""chunk"": 89, ""start"": 1876, ""end"": 1904}]}","","","",""
"TaxonomyCodedRoute_3f6c68ca2191e6b9","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Folds of Enrichment (FoE)","scMIR","evaluation","For each query treatment, a 2 × 2 contingency table is constructed by counting treatments with the same versus different mechanisms of action or pathways above and below a predefined similarity threshold (top 1%).","treatments with the same versus different mechanisms of action or pathways","treatments with the same versus different mechanisms of action or pathways","single-cell light microscopy images","['full-field microscopy images are first segmented into single-cell images', 'single-cell representations are extracted', 'Image-level features are obtained by average aggregation of single-cell features', 'welllevel representations are computed by averaging image-level features', 'treatmentlevel representations are derived by further aggregating wells subjected to identical perturbation conditions']","['full-field microscopy images are first segmented into single-cell images', 'single-cell representations are extracted', 'image-level features are obtained by average aggregation of single-cell features', 'well-level representations are computed by averaging image-level features', 'treatment-level representations are derived by further aggregating wells subjected to identical perturbation conditions']","treatmentlevel representations","dense_continuous_carrier","pooled_or_aggregated_embedding","average aggregation of single-cell features","other_explicit","no_text_on_this_route","generated_output","a 2 × 2 contingency table is constructed","Morphology-informed phenotypic inference","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [35], ""pages"": [21], ""refs"": [""#/texts/104"", ""#/texts/105""], ""spans"": [{""chunk"": 35, ""start"": 1235, ""end"": 1260}]}","","","",""
"TaxonomyCodedRoute_fa94d0e463ce96e6","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Spearman","scMIR","evaluation","Cell-line-level feature similarities are compared with similarities derived from mRNA sequencing profiles [71].","cell-line-level feature similarities","cell-line-level feature similarities","single-cell light microscopy images","['single-cell images are grouped according to cell line, protein localization, and protein identity', 'Single-cell features are aggregated to generate representations at each of these levels', 'cell-line-level feature similarities are compared with similarities derived from mRNA sequencing profiles [71]']","['single-cell images are grouped according to cell line, protein localization, and protein identity', 'single-cell features are aggregated to generate representations at each of these levels', 'cell-line-level feature similarities are compared with similarities derived from mRNA sequencing profiles']","cell-line-level feature similarities","dense_continuous_carrier","pooled_or_aggregated_embedding","Single-cell features are aggregated to generate representations at each of these levels","other_explicit","no_text_on_this_route","generated_output","Spearman and Kendall correlations","Morphology-informed phenotypic inference","","explicit_text","The document lists Spearman and Kendall together for Human Protein Atlas evaluation and does not assign Spearman to a specific sub-level.","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [13, 35, 42], ""pages"": [11, 12, 21, 23], ""refs"": [""#/pictures/4"", ""#/texts/31"", ""#/texts/104"", ""#/texts/105"", ""#/texts/130"", ""#/texts/131"", ""#/texts/132""], ""spans"": [{""chunk"": 13, ""start"": 1279, ""end"": 1287}, {""chunk"": 35, ""start"": 1930, ""end"": 1938}, {""chunk"": 42, ""start"": 96, ""end"": 104}]}","","","",""
"TaxonomyCodedRoute_882acd721ad3cfa7","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Kendall correlation","scMIR","evaluation","Proteinlocalization-level feature similarities are evaluated against expert-annotated organelle hierarchy groupings.","proteinlocalization-level feature similarities","protein-localization-level feature similarities","single-cell light microscopy images","['single-cell images are grouped according to cell line, protein localization, and protein identity', 'Single-cell features are aggregated to generate representations at each of these levels', 'Proteinlocalization-level feature similarities are evaluated against expert-annotated organelle hierarchy groupings']","['single-cell images are grouped according to cell line, protein localization, and protein identity', 'single-cell features are aggregated to generate representations at each of these levels', 'protein-localization-level feature similarities are evaluated against expert-annotated organelle hierarchy groupings']","proteinlocalization-level feature similarities","dense_continuous_carrier","pooled_or_aggregated_embedding","Single-cell features are aggregated to generate representations at each of these levels","other_explicit","no_text_on_this_route","generated_output","Spearman and Kendall correlations","Morphology-informed phenotypic inference","","explicit_text","The document lists Spearman and Kendall together for Human Protein Atlas evaluation and does not assign Kendall to a specific sub-level.","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [13, 35, 43], ""pages"": [11, 12, 21, 23], ""refs"": [""#/pictures/4"", ""#/texts/31"", ""#/texts/104"", ""#/texts/105"", ""#/texts/134"", ""#/texts/135""], ""spans"": [{""chunk"": 13, ""start"": 2294, ""end"": 2313}, {""chunk"": 35, ""start"": 1943, ""end"": 1962}, {""chunk"": 43, ""start"": 96, ""end"": 115}]}","","","",""
"TaxonomyCodedRoute_a00fba1b353032bc","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","TopBottomSep@10%","scMIR","evaluation","TopBottomSep@10%","real highly similar and low-similar sample pairs","sample pairs with true similarity labels","single-cell light microscopy image pairs","[]","[]","predicted similarity","dense_continuous_carrier","pooled_or_aggregated_embedding","This metric measures the model's ability to predict and separate real highly similar and low-similar sample pairs","unclear","no_text_on_this_route","unclear","This metric measures the model's ability to predict and separate real highly similar and low-similar sample pairs","","","explicit_text","Metric definition only; the underlying evaluated carrier is inferred from the similarity-prediction description.","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [13, 35, 44], ""pages"": [11, 12, 21, 23], ""refs"": [""#/pictures/4"", ""#/texts/31"", ""#/texts/104"", ""#/texts/105"", ""#/texts/137"", ""#/texts/138"", ""#/texts/139""], ""spans"": [{""chunk"": 13, ""start"": 1302, ""end"": 1318}, {""chunk"": 35, ""start"": 1969, ""end"": 1985}, {""chunk"": 44, ""start"": 96, ""end"": 112}]}","","","",""
"TaxonomyCodedRoute_53d1544032ba729f","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Inverse Median Absolute Deviation (IMAD)","scMIR","evaluation","Inverse Median Absolute Deviation (IMAD)","feature distances measured across experimental batches","feature distances across experimental batches","single-cell light microscopy image representations","[]","[]","feature distances","dense_continuous_carrier","pooled_or_aggregated_embedding","the inverse of the median absolute deviation (MAD) of feature distances measured across experimental batches","unclear","no_text_on_this_route","unclear","Inverse Median Absolute Deviation (IMAD) is defined as the inverse of the median absolute deviation (MAD)","","","explicit_text","Metric definition only; the carrier is inferred from representation distances used for batch-effect evaluation.","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [16, 36, 44], ""pages"": [13, 14, 21, 23], ""refs"": [""#/texts/39"", ""#/texts/40"", ""#/texts/41"", ""#/texts/107"", ""#/texts/137"", ""#/texts/138"", ""#/texts/139""], ""spans"": [{""chunk"": 16, ""start"": 861, ""end"": 901}, {""chunk"": 36, ""start"": 507, ""end"": 547}, {""chunk"": 44, ""start"": 665, ""end"": 705}]}","","","",""
"TaxonomyCodedRoute_feb81bba481c3aaf","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Pre-training datasets","scMIR","pretraining","multimodal pretraining","six publicly available microscopy datasets","microscopy datasets","microscopy images","[]","[]","full-field microscopy images and single-cell images","visual_raster_carrier","raw_slide_or_patch_input","multimodal pretraining","unclear","no_text_on_this_route","actual_model_input","We curated six publicly available microscopy datasets for multimodal pretraining","Pre-training datasets","Table S1","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [56], ""pages"": [31], ""refs"": [""#/texts/236""], ""spans"": [{""chunk"": 56, ""start"": 118, ""end"": 139}]}","","","",""
"TaxonomyCodedRoute_7a23439de0cf14c3","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","LIVECell","scMIR","pretraining","generate single-cell instances for pretraining using the provided segmentation annotations","LIVECell","phase-contrast microscopy dataset","phase-contrast microscopy images","[]","[]","single-cell instances","visual_raster_carrier","raw_slide_or_patch_input","using the provided segmentation annotations","unclear","no_text_on_this_route","actual_model_input","We selected 351 images to generate single-cell instances for pretraining","LIVECell [2]","Table S1","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [57], ""pages"": [31], ""refs"": [""#/texts/238""], ""spans"": [{""chunk"": 57, ""start"": 558, ""end"": 648}]}","","","",""
"TaxonomyCodedRoute_f0b321c23dbb610c","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","cpg0000","scMIR","pretraining","performed single-cell segmentation using Cellpose","full-field microscopy images","full-field microscopy images","fluorescence microscopy","['full-field images were segmented into single-cell instances using the Cellpose framework', 'zero-padding was applied to obtain square inputs']","['segmentation into single-cell instances', 'zero-padding to square inputs']","single-cell instances","visual_raster_carrier","raw_slide_or_patch_input","","unclear","no_text_on_this_route","actual_model_input","cpg0000 is a large-scale drug perturbation imaging dataset","Pre-training datasets","Table S1","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [58], ""pages"": [31], ""refs"": [""#/texts/240""], ""spans"": [{""chunk"": 58, ""start"": 130, ""end"": 188}]}","","","",""
"TaxonomyCodedRoute_fb8ce715afb019c3","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","PBC","scMIR","pretraining","single-cell images","single-cell images","single-cell microscopy images","microscopy","[]","[]","single-cell images","visual_raster_carrier","raw_slide_or_patch_input","","unclear","no_text_on_this_route","actual_model_input","the remaining datasets provide single-cell images.","Pre-training datasets","Table S1","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [56, 59, 90], ""pages"": [31, 50], ""refs"": [""#/texts/236"", ""#/texts/242"", ""#/tables/0""], ""spans"": [{""chunk"": 56, ""start"": 263, ""end"": 266}, {""chunk"": 59, ""start"": 118, ""end"": 121}, {""chunk"": 90, ""start"": 788, ""end"": 791}]}","","","",""
"TaxonomyCodedRoute_f6b0f13cddae3799","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","HPA","scMIR","pretraining","single-cell images","single-cell images","single-cell microscopy images","microscopy","[]","[]","single-cell images","visual_raster_carrier","raw_slide_or_patch_input","","unclear","no_text_on_this_route","actual_model_input","the remaining datasets provide single-cell images.","Pre-training datasets","Table S1","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [56], ""pages"": [31], ""refs"": [""#/texts/236""], ""spans"": [{""chunk"": 56, ""start"": 379, ""end"": 429}]}","","","",""
"TaxonomyCodedRoute_3bfd4de8f8f2175d","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","HepG2","scMIR","pretraining","single-cell images","single-cell images","single-cell microscopy images","microscopy","[]","[]","single-cell images","visual_raster_carrier","raw_slide_or_patch_input","","unclear","no_text_on_this_route","actual_model_input","the remaining datasets provide single-cell images.","Pre-training datasets","Table S1","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [56, 61, 90], ""pages"": [31, 32, 50], ""refs"": [""#/texts/236"", ""#/texts/246"", ""#/tables/0""], ""spans"": [{""chunk"": 56, ""start"": 275, ""end"": 280}, {""chunk"": 61, ""start"": 118, ""end"": 123}, {""chunk"": 90, ""start"": 1388, ""end"": 1393}]}","","","",""
"TaxonomyCodedRoute_6afda7f04d7477bf","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","B_ALL","scMIR","pretraining","pretraining dataset","a quantitative phase imaging (QPI) dataset comprising single-cell images collected from four healthy donors","single-cell images","quantitative phase imaging","[]","[]","single-cell images","visual_raster_carrier","raw_slide_or_patch_input","","unclear","no_text_on_this_route","actual_model_input","B_ALL is a quantitative phase imaging (QPI) dataset comprising single-cell images collected from four healthy donors.","B_ALL","Table S1","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [56, 62, 90], ""pages"": [31, 32, 50], ""refs"": [""#/texts/236"", ""#/texts/248"", ""#/tables/0""], ""spans"": [{""chunk"": 56, ""start"": 288, ""end"": 293}, {""chunk"": 62, ""start"": 118, ""end"": 123}, {""chunk"": 90, ""start"": 1671, ""end"": 1676}]}","","","",""
"TaxonomyCodedRoute_237b6f2fc54f8419","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","FIGURES S1-S12","scMIR","unclear","Supplementary information","FIGURES S1-S12","supplementary figures","text","[]","[]","FIGURES S1-S12","other_evidence_grounded","other_evidence_grounded","","unclear","metadata_or_context","unclear","FIGURES S1-S12","Supplementary information","FIGURES S1-S12","explicit_text","Only listed as a supplementary section heading; no figure contents are described in the excerpt.","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [55], ""pages"": [29, 30], ""refs"": [""#/texts/225"", ""#/texts/226"", ""#/texts/227"", ""#/texts/228"", ""#/texts/229"", ""#/texts/230"", ""#/texts/231"", ""#/texts/232""], ""spans"": [{""chunk"": 55, ""start"": 622, ""end"": 636}]}","","","",""
"TaxonomyCodedRoute_6d7a2db5bfb0a99b","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","TABLES S1-S4","scMIR","unclear","Supplementary information","TABLES S1-S4","supplementary tables","text","[]","[]","TABLES S1-S4","other_evidence_grounded","other_evidence_grounded","","unclear","metadata_or_context","unclear","TABLES S1-S4","Supplementary information","TABLES S1-S4","explicit_text","Only listed as a supplementary section heading; no table contents are described in the excerpt.","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [55], ""pages"": [29, 30], ""refs"": [""#/texts/225"", ""#/texts/226"", ""#/texts/227"", ""#/texts/228"", ""#/texts/229"", ""#/texts/230"", ""#/texts/231"", ""#/texts/232""], ""spans"": [{""chunk"": 55, ""start"": 637, ""end"": 649}]}","","","",""
"TaxonomyCodedRoute_6b1bd7afbadf06ed","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","Evaluation datasets","scMIR","evaluation","evaluation datasets","evaluation datasets","evaluation datasets","microscopy images","['Fullfield images were processed using the same preprocessing pipeline as in pretraining', 'neither dataset underwent single-cell segmentation']","['full-field images processed using the same preprocessing pipeline as in pretraining', 'no single-cell segmentation for DIBaS and CM4AI']","Fullfield images","visual_raster_carrier","raw_slide_or_patch_input","processed using the same preprocessing pipeline as in pretraining","unclear","no_text_on_this_route","actual_model_input","Fullfield images were processed using the same preprocessing pipeline as in pretraining","Evaluation datasets","Table S2","explicit_text","DIBaS and CM4AI are noted as exceptions that did not undergo single-cell segmentation.","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [63], ""pages"": [32], ""refs"": [""#/texts/250""], ""spans"": [{""chunk"": 63, ""start"": 118, ""end"": 137}]}","","","",""
"TaxonomyCodedRoute_a086ddfedbbf24d3","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","AINU","scMIR","evaluation","predict cell types","super-resolution microscopy images","super-resolution microscopy images of cell nuclei from human somatic cells and human induced pluripotent stem cells (hiPSCs)","super-resolution microscopy","[]","[]","super-resolution microscopy images that capture the spatial organization of core histone H3, RNA polymerase II, or DNA within cell nuclei","visual_raster_carrier","raw_slide_or_patch_input","","unclear","no_text_on_this_route","actual_model_input","The evaluation task requires models to predict cell types.","AINU","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [64, 65], ""pages"": [32, 33], ""refs"": [""#/texts/252"", ""#/texts/254""], ""spans"": [{""chunk"": 64, ""start"": 574, ""end"": 632}, {""chunk"": 65, ""start"": 428, ""end"": 486}]}","","","",""
"TaxonomyCodedRoute_b456cae4b5f2ecf5","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","AIRFIHA","scMIR","evaluation","predict cell types","phase images of labeled white blood cells","quantitative phase imaging microscopy images of labeled white blood cells from multiple donors","quantitative phase imaging microscopy","[]","[]","phase images of labeled white blood cells collected from multiple donors","visual_raster_carrier","raw_slide_or_patch_input","","unclear","no_text_on_this_route","actual_model_input","The evaluation task requires models to predict cell types.","AIRFIHA","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [64, 65], ""pages"": [32, 33], ""refs"": [""#/texts/252"", ""#/texts/254""], ""spans"": [{""chunk"": 64, ""start"": 574, ""end"": 632}, {""chunk"": 65, ""start"": 428, ""end"": 486}]}","","","",""
"TaxonomyCodedRoute_e56648de3055666d","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","BBBC014","scMIR","evaluation","predict the cell line identity","fluorescence microscopy dataset","fluorescence microscopy images of MCF7 and A549 cells under varying TNFα stimulation levels","fluorescence microscopy","[]","[]","a nuclear counterstain (DAPI) channel and a signal stain (FITC) channel","visual_raster_carrier","raw_slide_or_patch_input","","unclear","no_text_on_this_route","actual_model_input","The evaluation task is to predict the cell line identity.","BBBC014","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [66], ""pages"": [33], ""refs"": [""#/texts/256""], ""spans"": [{""chunk"": 66, ""start"": 309, ""end"": 380}]}","","","",""
"TaxonomyCodedRoute_6dc8e4dda2bcff12","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","BBBC021","scMIR","evaluation","infer perturbing compounds or their mechanisms of action from image-derived features","fluorescence microscopy images of MCF-7 breast cancer cells treated with 113 small-molecule compounds","fluorescence microscopy images of MCF-7 breast cancer cells under drug perturbation","fluorescence microscopy","[]","[]","three-channel fluorescence images","visual_raster_carrier","raw_slide_or_patch_input","","unclear","no_text_on_this_route","actual_model_input","The evaluation task requires models to infer perturbing compounds","BBBC021","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [67], ""pages"": [33], ""refs"": [""#/texts/258""], ""spans"": [{""chunk"": 67, ""start"": 151, ""end"": 252}]}","","","",""
"TaxonomyCodedRoute_0c249919b092358e","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","BBBC048","scMIR","evaluation","prediction of cell-cycle stage","bright-field images and two fluorescence channels","Jurkat cell images","bright-field and fluorescence microscopy","[]","[]","bright-field images and two fluorescence channels","visual_raster_carrier","raw_slide_or_patch_input","not described","unclear","no_text_on_this_route","actual_model_input","The evaluation task is prediction of cell-cycle stage.","BBBC048 [12]","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [68], ""pages"": [33], ""refs"": [""#/texts/260""], ""spans"": [{""chunk"": 68, ""start"": 148, ""end"": 197}]}","","","",""
"TaxonomyCodedRoute_98055cac67afe227","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","CM4AI","scMIR","evaluation","treatment type classification","Images contain four channels: nucleus (DAPI, blue), microtubules (red), endoplasmic reticulum (yellow), and a target protein (green)","triple-negative breast cancer cell images","confocal microscopy","[]","[]","four channels: nucleus (DAPI, blue), microtubules (red), endoplasmic reticulum (yellow), and a target protein (green)","visual_raster_carrier","raw_slide_or_patch_input","not described","unclear","no_text_on_this_route","actual_model_input","The evaluation task is treatment type classification.","CM4AI [13]","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [69], ""pages"": [33], ""refs"": [""#/texts/262""], ""spans"": [{""chunk"": 69, ""start"": 228, ""end"": 360}]}","","","",""
"TaxonomyCodedRoute_2b50ed147f8b8f02","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","CNMC","scMIR","evaluation","cell type classification","12,528 white blood cell images from 118 patients","white blood cell images","bright-field microscopy","[]","[]","bright-field microscopy images of white blood cells","visual_raster_carrier","raw_slide_or_patch_input","not described","unclear","no_text_on_this_route","actual_model_input","The evaluation task is cell type classification.","CNMC [14]","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [70], ""pages"": [33], ""refs"": [""#/texts/264""], ""spans"": [{""chunk"": 70, ""start"": 231, ""end"": 279}]}","","","",""
"TaxonomyCodedRoute_d85d0e372e51aeb4","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","CoNSeP","scMIR","evaluation","cell type classification","bright-field microscopy images cropped from 41 H&E-stained whole-slide images using provided segmentation masks","cells from H&E-stained whole-slide images","bright-field microscopy","['cropped from 41 H&E-stained whole-slide images using provided segmentation masks', 'Individual cells were extracted and padded when necessary to achieve uniform image size']","['cropping using provided segmentation masks', 'cell extraction and padding to uniform image size']","bright-field microscopy images cropped from 41 H&E-stained whole-slide images","visual_raster_carrier","raw_slide_or_patch_input","not described","unclear","no_text_on_this_route","actual_model_input","The evaluation task is cell type classification.","CoNSeP [15]","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [70, 75], ""pages"": [33, 34, 35], ""refs"": [""#/texts/264"", ""#/texts/274"", ""#/texts/275""], ""spans"": [{""chunk"": 70, ""start"": 398, ""end"": 446}, {""chunk"": 75, ""start"": 440, ""end"": 488}]}","","","",""
"TaxonomyCodedRoute_7e72985fe309bb75","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","COOS7","scMIR","evaluation","protein subcellular localization prediction.","COOS7 is a single-cell fluorescence microscopy dataset consisting of five subsets acquired under systematically varied experimental conditions to assess robustness against technical and temporal variation.","single-cell fluorescence microscopy images of mouse cells","fluorescence microscopy","['cropped field centered on a single mouse cell']","['crop to single-cell field']","Each image is a cropped field centered on a single mouse cell and contains two fluorescence channels","visual_raster_carrier","raw_slide_or_patch_input","","unclear","no_text_on_this_route","actual_model_input","COOS7 is a single-cell fluorescence microscopy dataset","MATERIALS AND METHODS","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [72], ""pages"": [34], ""refs"": [""#/texts/268""], ""spans"": [{""chunk"": 72, ""start"": 864, ""end"": 964}]}","","","",""
"TaxonomyCodedRoute_25332ccffd1c8184","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","CYCLoPs","scMIR","evaluation","protein localization classification.","CYCLoPs is a single-cell fluorescence microscopy dataset of Saccharomyces cerevisiae (yeast) cells, where each image corresponds to a cropped region centered on an individual cell.","single-cell fluorescence microscopy images of Saccharomyces cerevisiae (yeast) cells","fluorescence microscopy","['cropped region centered on an individual cell']","['crop to single-cell region']","Each image corresponds to a cropped region centered on an individual cell.","visual_raster_carrier","raw_slide_or_patch_input","","unclear","no_text_on_this_route","actual_model_input","CYCLoPs is a single-cell fluorescence microscopy dataset","MATERIALS AND METHODS","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [73], ""pages"": [34], ""refs"": [""#/texts/270""], ""spans"": [{""chunk"": 73, ""start"": 241, ""end"": 315}]}","","","",""
"TaxonomyCodedRoute_a3c70fc11f34cc5b","TaxonomyCodedRoute","entity","TaxonomyCodedRoute","DIBaS","scMIR","evaluation","bacterial species classification.","DIBaS is a bright-field microscopy dataset containing images of 33 bacterial species.","bright-field microscopy images of 33 bacterial species","bright-field microscopy","[]","[]","images of 33 bacterial species","visual_raster_carrier","raw_slide_or_patch_input","","unclear","no_text_on_this_route","actual_model_input","DIBaS is a bright-field microscopy dataset","MATERIALS AND METHODS","","explicit_text","","{""document_id"": ""efca942a4d0f03ccd65290b776a6ca7a"", ""match"": ""verbatim"", ""chunks"": [74], ""pages"": [34], ""refs"": [""#/texts/272""], ""spans"": [{""chunk"": 74, ""start"": 129, ""end"": 214}]}","","","",""
